,County,Year,MWh
0,Alameda,2013,10618.66
1,Alpine,2013,18.18
2,Amador,2013,310.34
3,Butte,2013,1502.98
4,Calaveras,2013,326.66
5,Colusa,2013,298.17
6,Contra Costa,2013,9134.59
7,Del Norte,2013,225.98
8,El Dorado,2013,1241.48
9,Fresno,2013,7499.04
10,Glenn,2013,349.69
11,Humboldt,2013,891.51
13,Inyo,2013,233.12
14,Kern,2013,15059.3
15,Kings,2013,1784.79
16,Lake,2013,470.1
17,Lassen,2013,425.94
18,Los Angeles,2013,68373.3
19,Madera,2013,1577.58
20,Marin,2013,1396.08
21,Mariposa,2013,113.2
22,Mendocino,2013,593.19
23,Merced,2013,3056.88
24,Modoc,2013,169.1
25,Mono,2013,204.42
26,Monterey,2013,2634.33
27,Napa,2013,1051.54
28,Nevada,2013,656.13
29,Orange,2013,20280.64
30,Placer,2013,2877.46
31,Plumas,2013,211.83
32,Riverside,2013,15138.42
33,Sacramento,2013,10744.33
34,San Benito,2013,357.55
35,San Bernardino,2013,14375.33
36,San Diego,2013,19687.54
38,San Joaquin,2013,5524.57
39,San Luis Obispo,2013,1765.19
40,San Mateo,2013,4532.32
41,Santa Barbara,2013,3374.32
42,Santa Clara,2013,16572.12
43,Santa Cruz,2013,1276.21
44,Shasta,2013,1548.72
45,Sierra,2013,23.53
46,Siskiyou,2013,500.4
47,Solano,2013,3228.34
48,Sonoma,2013,2964.66
49,Stanislaus,2013,4670.94
50,Sutter,2013,647.16
51,Tehama,2013,506.7
52,Trinity,2013,119.38
53,Tulare,2013,4286.39
54,Tuolumne,2013,460.72
55,Ventura,2013,5397.69
56,Yolo,2013,1699.95
57,Yuba,2013,489.02
58,Alameda,2014,10299.88
59,Alpine,2014,15.98
60,Amador,2014,289.5
61,Butte,2014,1489.48
62,Calaveras,2014,319.67
63,Colusa,2014,304.31
64,Contra Costa,2014,9588.19
65,Del Norte,2014,203.42
66,El Dorado,2014,1189.77
67,Fresno,2014,7668.8
68,Glenn,2014,381.25
69,Humboldt,2014,840.89
71,Inyo,2014,214.98
72,Kern,2014,14324.44
73,Kings,2014,1817.11
74,Lake,2014,441.32
75,Lassen,2014,431.87
76,Los Angeles,2014,69953.42
77,Madera,2014,1664.08
78,Marin,2014,1355.22
79,Mariposa,2014,109.72
80,Mendocino,2014,564.04
81,Merced,2014,3020.01
82,Modoc,2014,167.94
83,Mono,2014,191.58
84,Monterey,2014,2615.41
85,Napa,2014,1044.1
86,Nevada,2014,633.5
87,Orange,2014,20746.73
88,Placer,2014,2913.04
89,Plumas,2014,200.53
90,Riverside,2014,15533.94
91,Sacramento,2014,10903.89
92,San Benito,2014,355.85
93,San Bernardino,2014,14732.81
94,San Diego,2014,19998.95
96,San Joaquin,2014,5211.03
97,San Luis Obispo,2014,1723.67
98,San Mateo,2014,4457.05
99,Santa Barbara,2014,3411.31
100,Santa Clara,2014,16661.95
101,Santa Cruz,2014,1238.2
102,Shasta,2014,1544.47
