Stn Id,Stn Name,CIMIS Region,Month Year,Total ETo (in),Total Precip (in),Avg Sol Rad (Ly/day),Avg Vap Pres (mBars),Avg Max Air Temp (F),Avg Min Air Temp (F),Avg Air Temp (F),Avg Max Rel Hum (%),Avg Min Rel Hum (%),Avg Rel Hum (%),Avg Dew Point (F),Avg Wind Speed (mph),Avg Soil Temp (F)
0,2,FivePoints,San Joaquin Valley,Jan 2013,1.75,0.52,230.0,7.0,56.6,31.8,43.3,89.0,49.0,71.0,34.4,4.3,46.8
1,2,FivePoints,San Joaquin Valley,Feb 2013,2.59,0.54,333.0,7.3,61.6,34.4,47.6,87.0,43.0,65.0,36.1,4.8,49.5
2,2,FivePoints,San Joaquin Valley,Mar 2013,4.82,0.9,439.0,9.0,72.3,44.5,58.1,79.0,33.0,55.0,41.2,5.8,56.1
3,2,FivePoints,San Joaquin Valley,Apr 2013,7.61,0.06,615.0,8.5,78.6,48.6,64.2,68.0,25.0,42.0,39.4,8.2,61.3
4,2,FivePoints,San Joaquin Valley,May 2013,8.85,0.04,663.0,9.2,83.7,52.4,69.0,64.0,22.0,38.0,41.6,7.7,67.7
5,2,FivePoints,San Joaquin Valley,Jun 2013,9.19,0.0,704.0,12.2,91.5,59.1,76.4,63.0,24.0,39.0,49.1,6.8,71.6
6,2,FivePoints,San Joaquin Valley,Jul 2013,9.09,0.02,663.0,13.2,97.3,63.0,80.5,62.0,21.0,37.0,51.7,5.3,76.5
7,2,FivePoints,San Joaquin Valley,Aug 2013,8.47,0.0,633.0,12.7,94.1,60.3,77.5,68.0,22.0,40.0,50.8,5.9,78.3
8,2,FivePoints,San Joaquin Valley,Sep 2013,6.72,0.0,524.0,11.3,87.5,56.1,71.7,67.0,24.0,42.0,47.0,6.3,73.2
9,2,FivePoints,San Joaquin Valley,Oct 2013,4.53,0.0,405.0,7.5,78.5,43.3,60.3,69.0,24.0,43.0,36.9,4.4,64.2
10,2,FivePoints,San Joaquin Valley,Nov 2013,2.49,0.18,234.0,7.5,69.0,38.7,52.6,77.0,34.0,55.0,36.5,4.2,57.9
11,2,FivePoints,San Joaquin Valley,Dec 2013,1.67,0.06,171.0,5.0,59.2,26.9,41.5,78.0,33.0,55.0,26.5,3.8,49.1
12,2,FivePoints,San Joaquin Valley,Jan 2014,2.15,0.1,214.0,6.3,65.5,34.0,48.3,75.0,35.0,55.0,32.4,3.8,51.8
13,2,FivePoints,San Joaquin Valley,Feb 2014,2.62,1.54,290.0,8.7,65.4,40.8,52.9,84.0,44.0,64.0,40.3,5.5,54.1
14,2,FivePoints,San Joaquin Valley,Mar 2014,4.78,0.69,437.0,8.9,72.3,45.2,58.6,78.0,34.0,54.0,40.9,6.1,58.6
15,2,FivePoints,San Joaquin Valley,Apr 2014,6.58,0.4,571.0,8.8,78.4,48.1,63.7,73.0,27.0,45.0,41.1,6.3,64.1
16,2,FivePoints,San Joaquin Valley,May 2014,9.17,0.0,686.0,8.2,85.3,54.0,70.9,56.0,20.0,33.0,38.9,7.2,67.7
17,2,FivePoints,San Joaquin Valley,Jun 2014,9.58,0.0,743.0,9.3,93.0,56.8,76.5,56.0,17.0,30.0,42.2,6.1,74.1
18,2,FivePoints,San Joaquin Valley,Jul 2014,9.2,0.0,664.0,12.8,97.2,64.7,81.7,58.0,21.0,35.0,50.7,5.7,79.2
19,2,FivePoints,San Joaquin Valley,Aug 2014,8.68,0.0,615.0,11.9,95.8,62.0,79.4,61.0,20.0,35.0,49.0,5.7,77.3
20,2,FivePoints,San Joaquin Valley,Sep 2014,6.8,0.0,543.0,11.8,91.9,59.5,75.7,64.0,23.0,40.0,48.6,5.6,76.4
21,2,FivePoints,San Joaquin Valley,Oct 2014,5.28,0.91,408.0,8.8,83.9,50.2,66.2,65.0,23.0,41.0,40.9,5.5,68.4
22,2,FivePoints,San Joaquin Valley,Nov 2014,1.94,0.19,217.0,9.9,68.1,41.6,53.6,90.0,45.0,70.0,44.0,3.6,60.8
23,2,FivePoints,San Joaquin Valley,Dec 2014,1.27,3.03,153.0,10.6,59.6,43.0,50.6,92.0,65.0,82.0,45.0,5.0,56.7
24,2,FivePoints,San Joaquin Valley,Jan 2015,1.2,0.19,171.0,8.8,57.7,37.0,46.1,94.0,62.0,81.0,40.5,3.3,50.9
25,2,FivePoints,San Joaquin Valley,Feb 2015,2.63,0.33,297.0,9.8,69.4,41.2,54.7,88.0,44.0,67.0,43.6,5.0,55.7
26,2,FivePoints,San Joaquin Valley,Mar 2015,5.28,0.04,457.0,8.8,76.9,45.6,61.3,75.0,29.0,49.0,41.1,5.7,59.3
27,2,FivePoints,San Joaquin Valley,Apr 2015,6.9,0.44,574.0,7.7,77.5,45.5,62.4,69.0,23.0,40.0,37.2,6.6,62.3
28,2,FivePoints,San Joaquin Valley,May 2015,7.43,0.47,621.0,9.4,81.3,51.4,66.7,74.0,25.0,43.0,42.4,5.7,66.5
29,2,FivePoints,San Joaquin Valley,Jun 2015,9.04,0.0,687.0,11.2,94.6,60.3,78.6,60.0,19.0,34.0,46.9,5.8,73.9
30,2,FivePoints,San Joaquin Valley,Jul 2015,8.91,0.06,645.0,13.2,94.3,63.6,79.4,65.0,24.0,39.0,51.7,6.0,78.2
31,2,FivePoints,San Joaquin Valley,Aug 2015,8.71,0.0,618.0,12.0,94.7,62.3,79.1,63.0,22.0,36.0,49.3,6.3,77.6
32,2,FivePoints,San Joaquin Valley,Sep 2015,6.89,0.0,500.0,9.3,91.5,58.0,75.1,55.0,18.0,32.0,42.2,5.6,74.0
33,2,FivePoints,San Joaquin Valley,Oct 2015,4.59,0.26,379.0,11.6,83.4,54.2,68.0,73.0,30.0,49.0,47.7,4.9,70.8
34,2,FivePoints,San Joaquin Valley,Nov 2015,2.33,0.72,266.0,7.8,63.6,35.4,48.5,88.0,41.0,66.0,37.4,4.7,58.4
35,2,FivePoints,San Joaquin Valley,Dec 2015,1.47,1.19,175.0,7.3,57.0,32.7,44.2,90.0,51.0,73.0,35.9,4.9,51.1
36,2,FivePoints,San Joaquin Valley,Jan 2016,1.41,3.2,178.0,9.6,58.7,40.9,49.2,93.0,63.0,80.0,43.3,4.9,51.7
37,2,FivePoints,San Joaquin Valley,Feb 2016,3.02,0.02,345.0,9.2,67.8,39.7,53.0,88.0,42.0,67.0,42.0,4.7,53.2
38,2,FivePoints,San Joaquin Valley,Mar 2016,4.22,1.28,392.0,9.7,70.1,43.2,57.6,83.0,38.0,59.0,43.1,6.0,58.2
39,2,FivePoints,San Joaquin Valley,Apr 2016,6.25,0.44,521.0,9.2,77.6,49.7,63.6,73.0,29.0,47.0,41.7,6.8,63.4
40,2,FivePoints,San Joaquin Valley,May 2016,7.75,0.47,623.0,10.7,83.0,53.3,69.0,74.0,27.0,45.0,46.0,6.1,68.3
