Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
2,FivePoints,San Joaquin Valley,10/1/2014,274,0.24, ,0.00, ,494, ,8.9, ,83.8, ,55.8, ,69.3, ,60, ,24, ,36, ,41.5, ,8.6, ,205.2, ,70.9, 
2,FivePoints,San Joaquin Valley,10/2/2014,275,0.18, ,0.00, ,488, ,7.5, ,91.6, ,49.3, ,70.4, ,55, ,15, ,29, ,37.0, ,3.2, ,76.7, ,70.3, 
2,FivePoints,San Joaquin Valley,10/3/2014,276,0.19, ,0.00, ,484, ,8.0, ,95.3, ,51.9, ,72.0, ,56, ,14, ,30, ,38.8, ,3.4, ,80.5, ,70.7, 
2,FivePoints,San Joaquin Valley,10/4/2014,277,0.19, ,0.00, ,450, ,7.9, ,94.6, ,52.1, ,72.7, ,56, ,13, ,29, ,38.4, ,3.7, ,88.3, ,70.8, 
2,FivePoints,San Joaquin Valley,10/5/2014,278,0.19, ,0.00, ,462, ,7.6, ,95.5, ,52.1, ,72.2, ,53, ,13, ,28, ,37.3, ,3.3, ,78.0, ,70.9, 
2,FivePoints,San Joaquin Valley,10/6/2014,279,0.19, ,0.00, ,465, ,7.9, ,96.0, ,53.4, ,73.5, ,52, ,13, ,28, ,38.3, ,3.3, ,79.2, ,71.0, 
2,FivePoints,San Joaquin Valley,10/7/2014,280,0.21, ,0.00, ,464, ,7.8, ,94.4, ,55.2, ,73.3, ,52, ,13, ,28, ,38.2, ,4.7, ,113.1, ,70.8, 
2,FivePoints,San Joaquin Valley,10/8/2014,281,0.25, ,0.00, ,455, ,7.3, ,94.2, ,54.5, ,72.7, ,49, ,11, ,27, ,36.4, ,6.5, ,157.1, ,70.2, 
2,FivePoints,San Joaquin Valley,10/9/2014,282,0.23, ,0.00, ,464,R,7.3, ,91.4, ,52.1, ,71.8, ,49, ,14, ,27, ,36.5, ,6.3, ,152.3, ,69.4, 
2,FivePoints,San Joaquin Valley,10/10/2014,283,0.18, ,0.00, ,451, ,8.5, ,86.6, ,50.1, ,68.0, ,56, ,20, ,36, ,40.3, ,4.6, ,110.9, ,70.6, 
