Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
2,FivePoints,San Joaquin Valley,4/1/2015,091,0.27, ,0.00, ,570, ,4.8,Y,71.6, ,45.4, ,60.1, ,52, ,18, ,27,Y,26.0,Y,11.2, ,268.6, ,64.2, 
2,FivePoints,San Joaquin Valley,4/2/2015,092,0.24, ,0.00, ,539, ,5.0,Y,71.2, ,43.9, ,57.2, ,59, ,17, ,32,Y,27.3,Y,9.6, ,231.0, ,62.2, 
2,FivePoints,San Joaquin Valley,4/3/2015,093,0.21, ,0.00, ,545, ,4.9,Y,77.1, ,37.2, ,59.3, ,57, ,16, ,29,Y,26.7,Y,5.6, ,133.2, ,61.4, 
2,FivePoints,San Joaquin Valley,4/4/2015,094,0.23, ,0.00, ,543, ,5.1, ,76.4, ,42.2, ,60.5, ,50, ,17, ,28, ,27.5, ,7.2, ,173.5, ,61.4, 
2,FivePoints,San Joaquin Valley,4/5/2015,095,0.16, ,0.00, ,436, ,6.9, ,70.0, ,42.5, ,56.3, ,71, ,25, ,44, ,35.0, ,7.7, ,185.1, ,61.3, 
2,FivePoints,San Joaquin Valley,4/6/2015,096,0.17, ,0.00, ,506, ,5.9, ,67.6, ,39.3, ,54.5, ,76, ,21, ,41, ,31.3, ,5.0, ,120.0, ,60.9, 
2,FivePoints,San Joaquin Valley,4/7/2015,097,0.09, ,0.33, ,282, ,9.2, ,61.3, ,42.2, ,51.2, ,91, ,50, ,72, ,42.3, ,7.1, ,169.9, ,59.6, 
2,FivePoints,San Joaquin Valley,4/8/2015,098,0.18, ,0.00, ,596, ,8.0, ,65.5, ,36.3, ,51.5, ,95, ,34, ,61, ,38.7, ,5.5, ,132.2, ,59.2, 
2,FivePoints,San Joaquin Valley,4/9/2015,099,0.14, ,0.00, ,465, ,8.2, ,69.3, ,41.7, ,54.9, ,79, ,31, ,55, ,39.3, ,3.9, ,93.5, ,59.6, 
2,FivePoints,San Joaquin Valley,4/10/2015,100,0.20, ,0.00, ,574, ,8.3, ,75.8, ,40.3, ,59.3, ,86, ,26, ,48, ,39.6, ,4.8, ,116.0, ,60.0, 
2,FivePoints,San Joaquin Valley,4/11/2015,101,0.26, ,0.00, ,592, ,7.7, ,78.1, ,42.7, ,62.8, ,72, ,24, ,39, ,37.8, ,8.6, ,206.3, ,60.6, 
2,FivePoints,San Joaquin Valley,4/12/2015,102,0.24, ,0.00, ,608, ,8.4, ,79.6, ,43.8, ,62.9, ,78, ,25, ,43, ,40.0, ,6.0, ,144.0, ,60.9, 
2,FivePoints,San Joaquin Valley,4/13/2015,103,0.26, ,0.00, ,593, ,8.2, ,88.0, ,46.2, ,67.1, ,70, ,14, ,36, ,39.3, ,7.3, ,174.4, ,61.4, 
2,FivePoints,San Joaquin Valley,4/14/2015,104,0.30, ,0.00, ,622, ,5.4, ,68.8, ,49.5, ,58.2, ,75, ,13, ,32, ,28.8, ,13.7,Y,328.5,Y,61.3, 
2,FivePoints,San Joaquin Valley,4/15/2015,105,0.26, ,0.00, ,621, ,4.7,Y,72.6, ,39.9, ,56.9, ,52, ,16, ,30,Y,25.7,Y,8.5, ,204.4, ,59.7, 
2,FivePoints,San Joaquin Valley,4/16/2015,106,0.22, ,0.00, ,622, ,5.9, ,79.7, ,39.5, ,61.0, ,66, ,16, ,32, ,31.1, ,4.3, ,103.2, ,59.7, 
2,FivePoints,San Joaquin Valley,4/17/2015,107,0.24, ,0.00, ,622, ,6.2, ,83.7, ,43.8, ,65.2, ,62, ,16, ,29, ,32.4, ,4.4, ,105.0, ,60.6, 
2,FivePoints,San Joaquin Valley,4/18/2015,108,0.24, ,0.00, ,626, ,6.7, ,85.9, ,47.2, ,67.8, ,63, ,15, ,29, ,34.1, ,4.2, ,100.9, ,61.5, 
2,FivePoints,San Joaquin Valley,4/19/2015,109,0.27, ,0.00, ,616, ,7.6, ,88.4, ,48.6, ,70.3, ,60, ,18, ,30, ,37.6, ,5.5, ,132.1, ,62.3, 
2,FivePoints,San Joaquin Valley,4/20/2015,110,0.30, ,0.00, ,636, ,9.4, ,86.8, ,54.0, ,71.5, ,59, ,17, ,35, ,42.8, ,8.8, ,211.4, ,63.2, 
2,FivePoints,San Joaquin Valley,4/21/2015,111,0.21, ,0.00, ,550, ,10.2, ,78.4, ,50.1, ,64.7, ,72, ,32, ,49, ,45.1, ,5.5, ,132.9, ,64.6, 
2,FivePoints,San Joaquin Valley,4/22/2015,112,0.19, ,0.00, ,544, ,10.7, ,73.9, ,52.1, ,62.5, ,73, ,40, ,56, ,46.4, ,4.6, ,109.7, ,64.9, 
2,FivePoints,San Joaquin Valley,4/23/2015,113,0.22, ,0.00, ,604, ,10.8, ,80.1, ,48.8, ,65.3, ,78, ,33, ,51, ,46.6, ,4.2, ,101.8, ,64.8, 
2,FivePoints,San Joaquin Valley,4/24/2015,114,0.24, ,0.00, ,598, ,8.0, ,75.3, ,48.8, ,63.5, ,74, ,20, ,40, ,38.8, ,7.3, ,174.9, ,65.0, 
2,FivePoints,San Joaquin Valley,4/25/2015,115,0.20, ,0.11, ,542, ,10.4, ,68.6, ,49.9, ,59.5, ,83, ,42, ,60, ,45.5, ,7.7, ,184.4, ,64.3, 
2,FivePoints,San Joaquin Valley,4/26/2015,116,0.26, ,0.00, ,645, ,7.7, ,76.3, ,41.5, ,60.5, ,77, ,26, ,43, ,37.9, ,7.5, ,179.9, ,63.7, 
2,FivePoints,San Joaquin Valley,4/27/2015,117,0.24, ,0.00, ,658, ,9.3, ,83.9, ,47.3, ,66.8, ,68, ,24, ,42, ,42.8, ,4.4, ,106.7, ,63.9, 
2,FivePoints,San Joaquin Valley,4/28/2015,118,0.27, ,0.00, ,645, ,10.1, ,90.8, ,50.0, ,73.5, ,72, ,19, ,36, ,44.8, ,5.3, ,127.5, ,65.0, 
2,FivePoints,San Joaquin Valley,4/29/2015,119,0.28, ,0.00, ,588, ,9.1, ,89.0, ,54.1, ,73.3, ,54, ,20, ,33, ,42.1, ,6.9, ,165.6, ,66.5, 
2,FivePoints,San Joaquin Valley,4/30/2015,120,0.29, ,0.00, ,643, ,9.1, ,89.7, ,56.6, ,74.3, ,57, ,18, ,31, ,42.0, ,7.1, ,169.9, ,66.7, 
2,FivePoints,San Joaquin Valley,5/1/2015,121,0.30, ,0.00, ,675, ,6.4, ,94.0, ,56.0, ,76.6, ,56, ,9, ,21, ,33.3, ,5.7, ,135.9, ,66.8, 
2,FivePoints,San Joaquin Valley,5/2/2015,122,0.29, ,0.00, ,699,R,5.3, ,91.1, ,48.6, ,71.8, ,53, ,8, ,20, ,28.3, ,5.1, ,122.4, ,66.5, 
2,FivePoints,San Joaquin Valley,5/3/2015,123,0.29, ,0.00, ,707,R,6.4, ,87.8, ,48.1, ,69.1, ,56, ,9, ,26, ,33.2, ,5.6, ,134.7, ,65.9, 
2,FivePoints,San Joaquin Valley,5/4/2015,124,0.26, ,0.00, ,672, ,9.2, ,82.1, ,49.4, ,66.7, ,70, ,25, ,41, ,42.5, ,6.3, ,151.6, ,65.9, 
2,FivePoints,San Joaquin Valley,5/5/2015,125,0.26, ,0.00, ,688, ,8.0, ,82.5, ,48.0, ,65.5, ,69, ,21, ,37, ,38.7, ,5.2, ,124.5, ,66.1, 
2,FivePoints,San Joaquin Valley,5/6/2015,126,0.24, ,0.00, ,692, ,7.8, ,77.5, ,41.9, ,62.1, ,76, ,22, ,41, ,38.0, ,4.6, ,109.7, ,65.6, 
2,FivePoints,San Joaquin Valley,5/7/2015,127,0.11, ,0.19, ,341, ,9.2, ,66.0, ,50.5, ,55.2, ,86, ,36, ,62, ,42.4, ,6.1, ,146.9, ,64.7, 
