Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
2,FivePoints,San Joaquin Valley,10/1/2016,275,0.20, ,0.00, ,493,R,7.4, ,76.7, ,47.9, ,62.7, ,71, ,21, ,38, ,36.7, ,7.3, ,175.1, ,72.6, 
2,FivePoints,San Joaquin Valley,10/2/2016,276,0.20, ,0.00, ,490,R,7.7, ,74.4, ,45.4, ,61.4, ,63, ,23, ,42, ,37.9, ,8.1, ,194.9, ,70.9, 
2,FivePoints,San Joaquin Valley,10/3/2016,277,0.14, ,0.00, ,366, ,8.1, ,71.2, ,45.0, ,58.9, ,73, ,30, ,48, ,39.0, ,5.7, ,137.6, ,70.0, 
2,FivePoints,San Joaquin Valley,10/4/2016,278,0.19, ,0.00, ,473, ,8.8, ,74.0, ,48.2, ,62.0, ,60, ,35, ,47, ,41.3, ,7.7, ,185.1, ,69.4, 
2,FivePoints,San Joaquin Valley,10/5/2016,279,0.17,A,0.00,P,478,P,7.9,P,75.2,P,43.7,P,60.6,P,,M,,M,,M,,M,7.4,P,,M,68.8,P
2,FivePoints,San Joaquin Valley,10/6/2016,280,0.19, ,0.00, ,474,R,7.3, ,78.2, ,42.0, ,60.3, ,74, ,22, ,41, ,36.4, ,6.2, ,149.6, ,67.9, 
2,FivePoints,San Joaquin Valley,10/7/2016,281,0.16, ,0.00, ,440, ,7.3, ,82.4, ,42.6, ,62.1, ,68, ,18, ,38, ,36.4, ,4.0, ,95.4, ,67.7, 
2,FivePoints,San Joaquin Valley,10/8/2016,282,0.17, ,0.00, ,458, ,7.1, ,89.7, ,46.6, ,66.6, ,65, ,13, ,32, ,35.9, ,3.5, ,85.0, ,68.1, 
2,FivePoints,San Joaquin Valley,10/9/2016,283,0.17, ,0.00, ,447, ,7.4, ,92.5, ,49.1, ,69.5, ,59, ,11, ,30, ,36.8, ,3.5, ,83.5, ,68.6, 
2,FivePoints,San Joaquin Valley,10/10/2016,284,0.18, ,0.00, ,421, ,7.5, ,88.7, ,46.9, ,68.6, ,64, ,15, ,31, ,37.2, ,4.6, ,110.2, ,68.9, 
2,FivePoints,San Joaquin Valley,10/11/2016,285,0.16, ,0.00, ,421, ,10.7, ,78.4, ,53.5, ,64.6, ,75, ,34, ,51, ,46.3, ,6.0, ,144.6, ,68.9, 
2,FivePoints,San Joaquin Valley,10/12/2016,286,0.15, ,0.00, ,434, ,9.9, ,80.7, ,49.2, ,64.3, ,72, ,31, ,48, ,44.3, ,4.0, ,95.7, ,68.8, 
2,FivePoints,San Joaquin Valley,10/13/2016,287,0.11, ,0.00, ,328, ,9.9, ,79.9, ,47.8, ,62.9, ,74, ,30, ,51, ,44.4, ,2.6, ,62.4, ,68.6, 
2,FivePoints,San Joaquin Valley,10/14/2016,288,0.13, ,0.00, ,369, ,10.3, ,81.1, ,50.5, ,66.3, ,72, ,26, ,47, ,45.3, ,3.7, ,88.0, ,68.6, 
2,FivePoints,San Joaquin Valley,10/15/2016,289,0.15, ,0.00, ,355, ,14.0, ,81.1, ,54.5, ,68.9, ,82, ,39, ,58, ,53.6, ,6.5, ,156.4, ,69.0, 
2,FivePoints,San Joaquin Valley,10/16/2016,290,0.13, ,0.00, ,226, ,13.2, ,77.0, ,59.7, ,67.6, ,76, ,39, ,57, ,51.9, ,9.4, ,226.7, ,68.7, 
2,FivePoints,San Joaquin Valley,10/17/2016,291,0.16, ,0.00, ,402, ,11.0, ,72.8, ,55.0, ,63.7, ,82, ,34, ,54, ,47.0, ,7.4, ,178.6, ,68.3, 
2,FivePoints,San Joaquin Valley,10/18/2016,292,0.19, ,0.00, ,410, ,8.7, ,73.2, ,46.7, ,61.1, ,78, ,29, ,48, ,41.0, ,10.3,Y,248.2,Y,67.4, 
2,FivePoints,San Joaquin Valley,10/19/2016,293,0.17, ,0.00, ,410, ,7.6, ,74.5, ,47.5, ,60.3, ,61, ,27, ,42, ,37.3, ,7.6, ,181.3, ,66.3, 
2,FivePoints,San Joaquin Valley,10/20/2016,294,0.14, ,0.00, ,401, ,7.9, ,79.0, ,41.8, ,59.8, ,69, ,28, ,45, ,38.3, ,3.7, ,88.5, ,65.6, 
2,FivePoints,San Joaquin Valley,10/21/2016,295,0.13, ,0.00, ,391, ,8.8, ,82.4, ,45.3, ,62.1, ,70, ,25, ,46, ,41.2, ,3.3, ,78.5, ,65.7, 
2,FivePoints,San Joaquin Valley,10/22/2016,296,0.14, ,0.00, ,377, ,9.3, ,85.8, ,45.8, ,65.4, ,70, ,20, ,44, ,42.8, ,3.5, ,84.0, ,65.9, 
2,FivePoints,San Joaquin Valley,10/23/2016,297,0.14, ,0.00, ,352, ,9.4, ,85.4, ,48.8, ,66.9, ,69, ,20, ,42, ,42.9, ,4.1, ,98.1, ,66.4, 
2,FivePoints,San Joaquin Valley,10/24/2016,298,0.15, ,0.00, ,257, ,10.4, ,76.2, ,56.0, ,66.5, ,60, ,34, ,47, ,45.5, ,7.8, ,187.1, ,66.3, 
2,FivePoints,San Joaquin Valley,10/25/2016,299,0.14, ,0.00, ,375, ,10.1, ,79.8, ,53.9, ,66.4, ,69, ,29, ,46, ,44.8, ,5.3, ,127.4, ,66.0, 
2,FivePoints,San Joaquin Valley,10/26/2016,300,0.12, ,0.00, ,354, ,8.9, ,84.4, ,45.9, ,63.1, ,74, ,20, ,45, ,41.6, ,2.8, ,67.2, ,66.3, 
2,FivePoints,San Joaquin Valley,10/27/2016,301,0.06, ,0.22, ,140, ,11.9, ,79.2, ,51.4, ,62.8, ,91, ,30, ,61, ,49.2, ,4.3, ,103.1, ,66.1, 
2,FivePoints,San Joaquin Valley,10/28/2016,302,0.05, ,0.45, ,205, ,16.6,Y,71.8, ,57.1,Y,63.1, ,93, ,69, ,84,Y,58.3,Y,4.8, ,116.3, ,66.5, 
2,FivePoints,San Joaquin Valley,10/29/2016,303,0.09, ,0.01, ,286, ,15.4,Y,76.1, ,53.1, ,64.3, ,95, ,51, ,75,Y,56.1,Y,3.9, ,92.7, ,66.6, 
2,FivePoints,San Joaquin Valley,10/30/2016,304,0.09, ,0.00, ,246, ,13.1, ,71.4, ,49.2, ,62.5, ,87, ,48, ,68, ,51.7, ,6.1, ,146.6, ,66.8, 
2,FivePoints,San Joaquin Valley,10/31/2016,305,0.08, ,0.00, ,292, ,11.0, ,68.2, ,44.1, ,55.6, ,89, ,49, ,73, ,47.0, ,2.7, ,64.7, ,65.6, 
2,FivePoints,San Joaquin Valley,11/1/2016,306,0.09, ,0.00, ,258, ,11.0, ,68.2, ,48.9, ,57.5, ,90, ,43, ,68, ,47.0, ,5.6, ,135.3, ,65.2, 
2,FivePoints,San Joaquin Valley,11/2/2016,307,0.08, ,0.00, ,278, ,10.5, ,73.3, ,42.2, ,55.6, ,88, ,42, ,69, ,45.7, ,2.5, ,59.7, ,64.5, 
2,FivePoints,San Joaquin Valley,11/3/2016,308,0.08, ,0.00, ,268, ,10.8, ,74.0, ,43.6, ,56.8, ,90, ,41, ,69, ,46.7, ,2.3, ,54.1, ,64.3, 
2,FivePoints,San Joaquin Valley,11/4/2016,309,0.07, ,0.00, ,236, ,11.2, ,76.1, ,43.3, ,57.4, ,89, ,40, ,69, ,47.4, ,2.3, ,55.7, ,64.2, 
2,FivePoints,San Joaquin Valley,11/5/2016,310,0.07, ,0.00, ,237, ,12.1, ,78.7, ,44.3, ,59.7, ,91, ,39, ,69, ,49.5, ,2.9, ,70.3, ,64.3, 
2,FivePoints,San Joaquin Valley,11/6/2016,311,0.06, ,0.00, ,195, ,12.5, ,73.0, ,48.8, ,60.1, ,87, ,50, ,70, ,50.4, ,3.4, ,82.3, ,64.6, 
2,FivePoints,San Joaquin Valley,11/7/2016,312,0.07, ,0.00, ,229, ,12.5, ,75.4, ,47.8, ,60.5, ,88, ,43, ,69, ,50.4, ,2.7, ,65.8, ,64.7, 
2,FivePoints,San Joaquin Valley,11/8/2016,313,0.07, ,0.00, ,52, ,13.0, ,78.5, ,52.1, ,63.4, ,90, ,42, ,65, ,51.6, ,2.4, ,57.3, ,65.4,Y
2,FivePoints,San Joaquin Valley,11/9/2016,314,0.07, ,0.00, ,221, ,13.3, ,77.4, ,48.2, ,61.3, ,90, ,48, ,72, ,52.2, ,2.7, ,64.4, ,64.9, 
2,FivePoints,San Joaquin Valley,11/10/2016,315,0.07, ,0.00, ,221, ,12.8, ,84.1,Y,48.2, ,62.8, ,90, ,34, ,66, ,51.1, ,2.7, ,65.5, ,64.9,Y
2,FivePoints,San Joaquin Valley,11/11/2016,316,0.09, ,0.00, ,217, ,12.1, ,84.2,Y,51.9, ,65.8,Y,84, ,32, ,56,Y,49.6,Y,4.5, ,107.3, ,65.0,Y
2,FivePoints,San Joaquin Valley,11/12/2016,317,0.09, ,0.00, ,217, ,12.3, ,77.3, ,51.2, ,64.3,Y,76, ,38, ,60,Y,50.0,Y,5.7, ,136.1, ,65.3,Y
2,FivePoints,San Joaquin Valley,11/13/2016,318,0.07, ,0.00, ,255, ,11.7, ,79.7, ,46.5, ,59.0, ,88, ,39, ,69, ,48.7, ,2.6, ,62.5, ,64.6,Y
2,FivePoints,San Joaquin Valley,11/14/2016,319,0.08, ,0.00, ,262, ,10.8, ,78.1, ,43.6, ,58.3, ,88, ,34, ,65, ,46.7, ,2.1, ,50.4, ,64.3, 
2,FivePoints,San Joaquin Valley,11/15/2016,320,0.09, ,0.00, ,269, ,11.5, ,73.3, ,41.8, ,57.7, ,87, ,48, ,71, ,48.2, ,4.6, ,109.5, ,63.7, 
2,FivePoints,San Joaquin Valley,11/16/2016,321,0.13, ,0.00, ,262, ,7.5, ,64.9, ,44.8, ,55.7, ,71, ,24, ,49, ,37.1, ,10.4,Y,250.3,Y,63.2, 
2,FivePoints,San Joaquin Valley,11/17/2016,322,0.10, ,0.00, ,292, ,6.3, ,61.6, ,35.1, ,47.2, ,79, ,34, ,57, ,32.6, ,5.7, ,138.0, ,61.2, 
2,FivePoints,San Joaquin Valley,11/18/2016,323,0.11, ,0.00, ,286, ,5.4, ,70.2, ,34.4, ,51.0, ,76, ,19, ,43, ,29.2, ,5.4, ,129.9, ,59.7, 
2,FivePoints,San Joaquin Valley,11/19/2016,324,0.15, ,0.00, ,298, ,7.3, ,74.8, ,50.4, ,61.1, ,59, ,22, ,40, ,36.3, ,7.5, ,179.1, ,59.6, 
2,FivePoints,San Joaquin Valley,11/20/2016,325,0.04, ,0.76, ,157, ,10.6, ,64.7, ,45.4, ,53.8, ,94, ,50, ,75, ,46.1, ,5.0, ,121.0, ,59.8, 
2,FivePoints,San Joaquin Valley,11/21/2016,326,0.07, ,0.08, ,244, ,12.0, ,62.3, ,45.7, ,54.5, ,94, ,64, ,83, ,49.4, ,5.7, ,136.0, ,60.5, 
2,FivePoints,San Joaquin Valley,11/22/2016,327,0.05, ,0.01, ,236, ,9.9, ,61.4, ,38.5, ,49.2, ,94, ,61, ,83, ,44.3, ,2.1, ,50.4, ,59.9, 
2,FivePoints,San Joaquin Valley,11/23/2016,328,0.07, ,0.00, ,238, ,9.3, ,59.9, ,41.5, ,49.7, ,94, ,50, ,77, ,42.7, ,6.9, ,165.5, ,59.3, 
2,FivePoints,San Joaquin Valley,11/24/2016,329,0.06, ,0.00, ,243, ,8.0, ,59.2, ,32.9, ,45.4, ,92, ,53, ,77, ,38.7, ,3.6, ,86.7, ,58.3, 
2,FivePoints,San Joaquin Valley,11/25/2016,330,0.05, ,0.00, ,241, ,8.4, ,57.8, ,31.8, ,45.1, ,95, ,64, ,82, ,40.1, ,3.0, ,71.1, ,57.5, 
2,FivePoints,San Joaquin Valley,11/26/2016,331,0.04, ,0.10, ,132, ,9.0, ,60.4, ,39.2, ,48.4, ,93, ,54, ,78, ,41.7, ,5.4, ,128.7, ,57.1, 
2,FivePoints,San Joaquin Valley,11/27/2016,332,0.07, ,0.09, ,231, ,9.2, ,58.3, ,40.4, ,49.3, ,94, ,57, ,77, ,42.5, ,5.6, ,135.3, ,57.1, 
2,FivePoints,San Joaquin Valley,11/28/2016,333,0.06, ,0.00, ,184, ,9.4, ,58.5, ,43.1, ,50.1, ,88, ,56, ,77, ,43.0, ,6.5, ,157.1, ,57.2, 
2,FivePoints,San Joaquin Valley,11/29/2016,334,0.06, ,0.00, ,256, ,8.4, ,54.6, ,35.4, ,46.6, ,91, ,61, ,77, ,39.9, ,5.2, ,124.3, ,57.3, 
2,FivePoints,San Joaquin Valley,11/30/2016,335,0.05, ,0.00, ,248, ,7.8, ,59.4, ,31.6, ,44.5, ,94, ,53, ,78, ,38.2, ,2.4, ,57.1, ,56.2, 
2,FivePoints,San Joaquin Valley,12/1/2016,336,0.07, ,0.00, ,197, ,7.8, ,57.2, ,34.7, ,47.4, ,88, ,42, ,70, ,38.1, ,7.1, ,170.5, ,56.1, 
2,FivePoints,San Joaquin Valley,12/2/2016,337,0.08, ,0.00, ,260, ,6.1, ,54.8, ,32.8, ,42.8, ,87, ,43, ,65, ,32.0, ,7.0, ,167.1, ,54.9, 
2,FivePoints,San Joaquin Valley,12/3/2016,338,0.06, ,0.00, ,254, ,6.1, ,58.0, ,28.3, ,41.6, ,88, ,41, ,68, ,32.0, ,2.8, ,67.6, ,53.9, 
2,FivePoints,San Joaquin Valley,12/4/2016,339,0.06, ,0.00, ,231, ,6.6, ,61.4, ,30.7, ,44.2, ,90, ,38, ,67, ,34.0, ,2.5, ,59.2, ,53.9, 
2,FivePoints,San Joaquin Valley,12/5/2016,340,0.05, ,0.00, ,191, ,8.1, ,58.0, ,33.7, ,45.0, ,90, ,62, ,79, ,39.0, ,2.9, ,70.2, ,54.0, 
2,FivePoints,San Joaquin Valley,12/6/2016,341,0.05, ,0.00, ,201, ,8.1, ,56.0, ,35.0, ,45.7, ,91, ,55, ,77, ,39.0, ,3.8, ,92.2, ,54.4, 
2,FivePoints,San Joaquin Valley,12/7/2016,342,0.04, ,0.02, ,93, ,7.8, ,51.8, ,43.5, ,47.2, ,92, ,59, ,70, ,38.0, ,3.2, ,77.2, ,53.5, 
