Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
2,FivePoints,San Joaquin Valley,1/1/2016,001,0.04, ,0.00, ,169, ,5.7, ,51.7, ,26.4, ,38.3, ,93, ,49, ,73, ,30.3, ,3.4, ,81.0, ,46.9, 
2,FivePoints,San Joaquin Valley,1/2/2016,002,0.03, ,0.00, ,101, ,6.7, ,51.0, ,38.5, ,43.9, ,78, ,57, ,69, ,34.3, ,3.1, ,75.3, ,47.6, 
2,FivePoints,San Joaquin Valley,1/3/2016,003,0.04, ,0.00, ,128, ,6.8, ,58.0, ,34.8, ,46.1, ,85, ,44, ,64, ,34.7, ,3.3, ,78.5, ,48.2, 
2,FivePoints,San Joaquin Valley,1/4/2016,004,0.03, ,0.00, ,84, ,8.0, ,57.1, ,37.9, ,48.0, ,82, ,60, ,70, ,38.9, ,4.7, ,113.3, ,48.7, 
2,FivePoints,San Joaquin Valley,1/5/2016,005,0.03, ,0.61, ,108, ,10.1, ,59.6, ,44.0, ,50.0, ,90, ,62, ,82, ,44.7, ,6.5, ,156.6, ,49.7, 
2,FivePoints,San Joaquin Valley,1/6/2016,006,0.04, ,0.46, ,159, ,9.3, ,56.0, ,41.4, ,48.2, ,91, ,69, ,81, ,42.6, ,8.2, ,196.7, ,50.0, 
2,FivePoints,San Joaquin Valley,1/7/2016,007,0.05, ,0.14,H,220, ,8.9, ,54.8, ,38.2, ,45.8, ,95, ,68, ,85, ,41.6, ,5.8, ,138.2, ,50.1, 
2,FivePoints,San Joaquin Valley,1/8/2016,008,0.04, ,0.02, ,196, ,8.3, ,51.9, ,32.9, ,43.3, ,95, ,73, ,87, ,39.7, ,4.0, ,95.6, ,49.8, 
2,FivePoints,San Joaquin Valley,1/9/2016,009,0.02, ,0.00, ,106, ,9.3, ,56.5, ,40.7, ,47.3, ,96, ,59, ,83, ,42.5, ,5.2, ,125.5, ,49.9, 
2,FivePoints,San Joaquin Valley,1/10/2016,010,0.03, ,0.00, ,128, ,10.2, ,55.9, ,44.9, ,48.9, ,94, ,72, ,87, ,45.1, ,2.9, ,69.3, ,50.8, 
2,FivePoints,San Joaquin Valley,1/11/2016,011,0.05, ,0.00, ,219, ,9.7, ,59.5, ,40.2, ,48.4, ,95, ,63, ,84, ,43.7, ,3.4, ,81.6, ,51.0, 
2,FivePoints,San Joaquin Valley,1/12/2016,012,0.05, ,0.01, ,233, ,9.6, ,59.7, ,36.2, ,46.6, ,96, ,70, ,88, ,43.3, ,5.4, ,129.0, ,50.8, 
2,FivePoints,San Joaquin Valley,1/13/2016,013,0.06, ,0.00, ,214, ,9.8, ,62.8, ,43.7, ,51.8, ,93, ,60, ,74, ,43.9, ,5.9, ,142.5, ,51.3, 
2,FivePoints,San Joaquin Valley,1/14/2016,014,0.06, ,0.00, ,221, ,8.8, ,58.6, ,37.7, ,48.5, ,89, ,53, ,76, ,41.3, ,5.2, ,124.9, ,51.5, 
2,FivePoints,San Joaquin Valley,1/15/2016,015,0.06, ,0.00, ,237, ,9.8, ,62.2, ,43.7, ,51.0, ,92, ,55, ,77, ,43.9, ,4.0, ,95.5, ,52.1, 
2,FivePoints,San Joaquin Valley,1/16/2016,016,0.06, ,0.03, ,214, ,10.9, ,63.1, ,45.6, ,53.2, ,93, ,62, ,79, ,46.8, ,4.2, ,99.8, ,52.5, 
2,FivePoints,San Joaquin Valley,1/17/2016,017,0.05, ,0.00, ,155, ,11.1, ,63.9, ,42.6, ,54.1, ,92, ,63, ,78, ,47.4, ,5.9, ,140.6, ,52.8, 
2,FivePoints,San Joaquin Valley,1/18/2016,018,0.07, ,0.08, ,252, ,12.2, ,63.7, ,49.3, ,56.1, ,92, ,66, ,79, ,49.8, ,5.0, ,118.9, ,53.9, 
2,FivePoints,San Joaquin Valley,1/19/2016,019,0.02, ,0.60, ,110, ,12.2, ,59.1, ,47.8, ,52.5, ,95, ,81, ,91, ,49.8, ,6.4, ,153.9, ,53.9, 
2,FivePoints,San Joaquin Valley,1/20/2016,020,0.02, ,0.07,H,102, ,11.9, ,60.0, ,45.5, ,52.0, ,96, ,75, ,90, ,49.1, ,3.0, ,71.2, ,53.9, 
2,FivePoints,San Joaquin Valley,1/21/2016,021,0.03, ,0.01, ,153, ,11.3, ,57.0, ,43.8, ,50.4, ,96, ,81, ,91, ,47.7, ,5.2, ,125.6, ,53.8, 
2,FivePoints,San Joaquin Valley,1/22/2016,022,0.02, ,0.05, ,58, ,11.7, ,62.0, ,48.2, ,54.0, ,94, ,62, ,82, ,48.6, ,5.5, ,131.6, ,53.9, 
