Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
2,FivePoints,San Joaquin Valley,7/1/2017,182,0.31, ,0.00, ,727, ,11.8, ,90.8, ,57.8, ,75.7, ,69, ,23, ,39, ,49.0, ,6.1, ,145.7, ,72.9, 
2,FivePoints,San Joaquin Valley,7/2/2017,183,0.28, ,0.00, ,705, ,13.8, ,96.5, ,58.1, ,77.8, ,78, ,24, ,42, ,53.1, ,3.7, ,89.1, ,73.1, 
2,FivePoints,San Joaquin Valley,7/3/2017,184,0.30, ,0.00, ,694, ,13.7, ,97.0, ,64.0, ,80.5, ,62, ,22, ,39, ,53.0, ,4.7, ,113.9, ,73.8, 
2,FivePoints,San Joaquin Valley,7/4/2017,185,0.31, ,0.00, ,707, ,13.5, ,100.5, ,62.2, ,81.8, ,67, ,16, ,36, ,52.5, ,5.4, ,128.9, ,74.2, 
2,FivePoints,San Joaquin Valley,7/5/2017,186,0.31, ,0.00, ,680, ,13.2, ,97.8, ,65.4, ,81.9, ,56, ,24, ,36, ,52.0, ,6.3, ,152.3, ,74.4, 
2,FivePoints,San Joaquin Valley,7/6/2017,187,0.34, ,0.00, ,686, ,12.0, ,99.4, ,64.7, ,83.1, ,64, ,16, ,31, ,49.5, ,6.2, ,149.6, ,74.5, 
2,FivePoints,San Joaquin Valley,7/7/2017,188,0.36, ,0.00, ,779,R,12.7, ,100.2, ,72.0,Y,91.0,Y,54, ,19, ,25,Y,50.8,Y,8.2, ,195.9, ,74.7, 
2,FivePoints,San Joaquin Valley,7/8/2017,189,0.37, ,0.00, ,655, ,10.7, ,100.0, ,65.0, ,84.4, ,62, ,12, ,27, ,46.3, ,7.7, ,183.6, ,74.0, 
2,FivePoints,San Joaquin Valley,7/9/2017,190,0.29, ,0.00, ,632, ,12.3, ,101.4, ,65.6, ,83.7, ,58, ,13, ,31, ,50.1, ,3.9, ,92.5, ,74.0, 
2,FivePoints,San Joaquin Valley,7/10/2017,191,0.26, ,0.00, ,583, ,14.2, ,100.4, ,64.7, ,83.4, ,73, ,21, ,36, ,53.9, ,3.8, ,90.7, ,74.6, 
2,FivePoints,San Joaquin Valley,7/11/2017,192,0.30, ,0.00, ,666, ,12.5, ,99.2, ,63.9, ,82.2, ,66, ,18, ,33, ,50.4, ,4.3, ,102.3, ,75.0, 
2,FivePoints,San Joaquin Valley,7/12/2017,193,0.29, ,0.00, ,684, ,12.3, ,97.3, ,61.4, ,80.3, ,60, ,20, ,35, ,50.0, ,4.1, ,98.8, ,74.8, 
2,FivePoints,San Joaquin Valley,7/13/2017,194,0.29, ,0.00, ,646, ,13.4, ,99.0, ,63.3, ,81.7, ,62, ,22, ,36, ,52.3, ,4.4, ,105.8, ,75.0, 
2,FivePoints,San Joaquin Valley,7/14/2017,195,0.31, ,0.00, ,678, ,13.0, ,98.2, ,63.4, ,82.1, ,62, ,21, ,35, ,51.6, ,5.1, ,122.7, ,76.1, 
2,FivePoints,San Joaquin Valley,7/15/2017,196,0.33, ,0.00, ,709, ,11.7, ,98.3, ,63.2, ,82.3, ,54, ,18, ,31, ,48.8, ,5.8, ,140.0, ,76.4, 
2,FivePoints,San Joaquin Valley,7/16/2017,197,0.31, ,0.00, ,609, ,14.0, ,100.4, ,66.6, ,83.1, ,61, ,20, ,36, ,53.6, ,6.1, ,146.4, ,75.8, 
2,FivePoints,San Joaquin Valley,7/17/2017,198,0.35, ,0.00, ,709, ,11.4, ,102.4, ,63.3, ,84.7, ,68, ,13, ,28, ,48.1, ,6.6, ,159.2, ,75.3, 
2,FivePoints,San Joaquin Valley,7/18/2017,199,0.37, ,0.00, ,708, ,9.0,Y,97.2, ,62.8, ,82.0, ,48, ,16, ,24,Y,41.8,Y,8.1, ,193.3, ,75.0, 
2,FivePoints,San Joaquin Valley,7/19/2017,200,0.30, ,0.00, ,724, ,10.0, ,94.7, ,56.9, ,77.7, ,68, ,17, ,31, ,44.6, ,5.1, ,123.4, ,74.6, 
2,FivePoints,San Joaquin Valley,7/20/2017,201,0.29, ,0.00, ,720, ,11.4, ,93.3, ,55.7, ,76.9, ,74, ,21, ,36, ,47.9, ,4.8, ,115.7, ,74.3, 
2,FivePoints,San Joaquin Valley,7/21/2017,202,0.28, ,0.00, ,713, ,12.3, ,93.6, ,55.5, ,76.3, ,74, ,23, ,40, ,49.9, ,4.5, ,108.3, ,74.0, 
2,FivePoints,San Joaquin Valley,7/22/2017,203,0.28, ,0.00, ,668, ,12.8, ,95.8, ,58.7, ,78.3, ,72, ,19, ,39, ,51.0, ,3.7, ,89.5, ,74.0, 
2,FivePoints,San Joaquin Valley,7/23/2017,204,0.29, ,0.00, ,675, ,14.4, ,100.4, ,59.8, ,82.3, ,75, ,19, ,38, ,54.3, ,3.7, ,89.6, ,74.3, 
2,FivePoints,San Joaquin Valley,7/24/2017,205,0.32, ,0.00, ,660, ,11.9, ,96.0, ,63.6, ,81.8, ,69, ,17, ,32, ,49.1, ,5.7, ,135.6, ,74.8, 
2,FivePoints,San Joaquin Valley,7/25/2017,206,0.28, ,0.00, ,683, ,12.4, ,97.3, ,61.3, ,78.2, ,70, ,18, ,38, ,50.3, ,5.0, ,121.1, ,78.0, 
2,FivePoints,San Joaquin Valley,7/26/2017,207,0.29, ,0.00, ,659, ,15.0, ,95.3, ,64.1, ,80.1, ,68, ,27, ,43, ,55.4, ,6.0, ,142.8, ,78.7, 
2,FivePoints,San Joaquin Valley,7/27/2017,208,0.32, ,0.00, ,672, ,13.1, ,97.9, ,65.5, ,82.6, ,62, ,22, ,34, ,51.7, ,5.9, ,140.5, ,78.3, 
2,FivePoints,San Joaquin Valley,7/28/2017,209,0.31, ,0.00, ,676, ,12.4, ,99.2, ,63.2, ,83.1, ,64, ,19, ,32, ,50.2, ,4.9, ,116.5, ,77.9, 
2,FivePoints,San Joaquin Valley,7/29/2017,210,0.32, ,0.00, ,683, ,11.4, ,98.9, ,62.1, ,82.7, ,66, ,18, ,30, ,48.0, ,5.7, ,136.6, ,77.4, 
2,FivePoints,San Joaquin Valley,7/30/2017,211,0.31, ,0.00, ,661, ,12.5, ,98.5, ,63.0, ,82.3, ,65, ,19, ,33, ,50.5, ,5.8, ,138.0, ,77.1, 
2,FivePoints,San Joaquin Valley,7/31/2017,212,0.31, ,0.00, ,646, ,12.2, ,98.5, ,64.5, ,83.2, ,61, ,19, ,31, ,49.8, ,5.7, ,136.2, ,77.1, 
2,FivePoints,San Joaquin Valley,8/1/2017,213,0.28, ,0.00, ,621, ,13.6, ,100.8, ,63.6, ,84.1, ,66, ,18, ,34, ,52.8, ,4.0, ,96.5, ,77.0, 
