Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
2,FivePoints,San Joaquin Valley,1/1/2014,001,0.05, ,0.00, ,170, ,5.2, ,64.7, ,29.4, ,44.2, ,74, ,30, ,53, ,28.0, ,2.5, ,60.7, ,47.8, 
2,FivePoints,San Joaquin Valley,1/2/2014,002,0.06, ,0.00, ,166, ,5.0, ,63.9, ,28.2, ,44.3, ,68, ,31, ,51, ,27.2, ,3.0, ,71.8, ,48.0, 
2,FivePoints,San Joaquin Valley,1/3/2014,003,0.05, ,0.00, ,148, ,5.4, ,64.1, ,30.0, ,45.0, ,75, ,31, ,53, ,28.9, ,2.7, ,63.7, ,48.0, 
2,FivePoints,San Joaquin Valley,1/4/2014,004,0.06, ,0.00, ,171, ,5.4, ,63.5, ,31.3, ,44.6, ,74, ,32, ,54, ,29.2, ,3.1, ,74.6, ,48.2, 
2,FivePoints,San Joaquin Valley,1/5/2014,005,0.05, ,0.00, ,175, ,5.6, ,64.4, ,29.1, ,44.4, ,72, ,34, ,57, ,30.0, ,3.0, ,73.2, ,48.1, 
2,FivePoints,San Joaquin Valley,1/6/2014,006,0.05, ,0.00, ,206, ,6.6, ,64.6, ,42.7, ,53.0, ,83, ,34, ,48, ,33.8, ,3.3, ,79.7, ,48.4, 
2,FivePoints,San Joaquin Valley,1/7/2014,007,0.04, ,0.00, ,151, ,6.6, ,61.3, ,35.6, ,47.3, ,76, ,41, ,59, ,33.8, ,2.8, ,68.1, ,48.7, 
2,FivePoints,San Joaquin Valley,1/8/2014,008,0.06, ,0.00, ,220, ,7.5, ,59.6, ,30.4, ,45.6, ,82, ,56, ,72, ,37.2, ,4.8, ,115.6, ,48.5, 
2,FivePoints,San Joaquin Valley,1/9/2014,009,0.07, ,0.00, ,222, ,8.0, ,61.6, ,34.9, ,47.1, ,90, ,51, ,73, ,38.7, ,5.0, ,120.2, ,49.0, 
2,FivePoints,San Joaquin Valley,1/10/2014,010,0.06, ,0.00, ,233, ,7.4, ,60.7, ,30.0, ,44.8, ,90, ,51, ,73, ,36.8, ,4.6, ,109.5, ,49.0, 
2,FivePoints,San Joaquin Valley,1/11/2014,011,0.06, ,0.00, ,183, ,7.8, ,61.9, ,34.4, ,48.6, ,83, ,49, ,67, ,38.0, ,4.7, ,113.5, ,49.1, 
2,FivePoints,San Joaquin Valley,1/12/2014,012,0.08, ,0.00, ,212, ,7.3, ,59.5, ,33.2, ,47.0, ,87, ,35, ,66, ,36.5, ,8.2, ,197.0, ,49.6, 
2,FivePoints,San Joaquin Valley,1/13/2014,013,0.07, ,0.00, ,253, ,5.5, ,62.8, ,27.7, ,43.2, ,87, ,34, ,58, ,29.6, ,3.1, ,73.3, ,48.7, 
2,FivePoints,San Joaquin Valley,1/14/2014,014,0.07, ,0.00, ,252, ,5.6, ,65.9, ,28.4, ,44.7, ,82, ,32, ,56, ,29.8, ,3.0, ,71.0, ,48.5, 
2,FivePoints,San Joaquin Valley,1/15/2014,015,0.07, ,0.00, ,253, ,5.6, ,67.2, ,28.0, ,45.4, ,72, ,32, ,54, ,29.8, ,3.0, ,72.9, ,53.7,H
2,FivePoints,San Joaquin Valley,1/16/2014,016,0.07, ,0.00, ,253, ,5.6, ,71.1,Y,28.3, ,46.7, ,76, ,29, ,52, ,29.8, ,2.7, ,65.4, ,56.9,Y
2,FivePoints,San Joaquin Valley,1/17/2014,017,0.08, ,0.00, ,252, ,5.5, ,69.8, ,33.2, ,48.2, ,64, ,29, ,48, ,29.4, ,3.3, ,78.4, ,56.8,Y
2,FivePoints,San Joaquin Valley,1/18/2014,018,0.07, ,0.00, ,247, ,5.8, ,69.0, ,30.9, ,47.4, ,73, ,31, ,52, ,30.7, ,2.9, ,70.7, ,56.5, 
