Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
2,FivePoints,San Joaquin Valley,7/1/2014,182,0.32, ,0.00, ,725, ,12.1, ,104.2, ,67.8, ,85.2, ,46, ,16, ,29, ,49.6, ,4.9, ,117.4, ,78.9, 
2,FivePoints,San Joaquin Valley,7/2/2014,183,0.32, ,0.00, ,729, ,12.4, ,99.3, ,64.2, ,81.1, ,54, ,21, ,34, ,50.2, ,5.9, ,141.5, ,78.7, 
2,FivePoints,San Joaquin Valley,7/3/2014,184,0.31, ,0.00, ,722, ,12.4, ,99.3, ,62.4, ,81.6, ,58, ,21, ,34, ,50.2, ,4.9, ,118.4, ,78.5, 
2,FivePoints,San Joaquin Valley,7/4/2014,185,0.32, ,0.00, ,737, ,9.8, ,103.6, ,61.4, ,84.6, ,55, ,12, ,24, ,44.1, ,4.8, ,114.3, ,78.5, 
2,FivePoints,San Joaquin Valley,7/5/2014,186,0.34, ,0.00, ,738, ,8.5,Y,100.4, ,61.8, ,83.2, ,44, ,13, ,22,Y,40.4,Y,5.9, ,142.1, ,78.4, 
2,FivePoints,San Joaquin Valley,7/6/2014,187,0.32, ,0.00, ,682, ,7.9,Y,101.3, ,64.5, ,82.7, ,34, ,11, ,21,Y,38.4,Y,5.1, ,121.5, ,77.9, 
2,FivePoints,San Joaquin Valley,7/7/2014,188,0.32, ,0.00, ,680, ,8.8,Y,95.8, ,65.1, ,81.4, ,43, ,12, ,24,Y,41.3,Y,5.1, ,121.9, ,78.4, 
2,FivePoints,San Joaquin Valley,7/8/2014,189,0.32, ,0.00, ,722, ,10.0, ,104.7, ,63.7, ,84.1, ,46, ,12, ,25, ,44.5, ,5.0, ,119.4, ,80.1, 
2,FivePoints,San Joaquin Valley,7/9/2014,190,0.31, ,0.00, ,724, ,12.5, ,101.6, ,63.0, ,82.5, ,52, ,16, ,33, ,50.5, ,5.4, ,129.8, ,80.9, 
2,FivePoints,San Joaquin Valley,7/10/2014,191,0.30, ,0.00, ,719, ,13.2, ,94.2, ,61.9, ,79.2, ,64, ,24, ,39, ,52.0, ,5.5, ,131.3, ,80.8, 
2,FivePoints,San Joaquin Valley,7/11/2014,192,0.30, ,0.00, ,716, ,13.6, ,91.1, ,60.1, ,76.6, ,71, ,27, ,44, ,52.8, ,7.5, ,178.9, ,80.7, 
2,FivePoints,San Joaquin Valley,7/12/2014,193,0.31, ,0.00, ,722, ,13.1, ,93.4, ,60.5, ,77.4, ,73, ,21, ,41, ,51.7, ,7.8, ,187.6, ,80.1, 
2,FivePoints,San Joaquin Valley,7/13/2014,194,0.33, ,0.00, ,712, ,12.2, ,98.5, ,62.4, ,82.1, ,60, ,19, ,33, ,49.8, ,6.7, ,159.7, ,79.5, 
2,FivePoints,San Joaquin Valley,7/14/2014,195,0.21, ,0.00, ,450, ,14.9, ,102.2, ,69.0, ,84.9, ,57, ,20, ,36, ,55.2, ,3.6, ,85.5, ,79.3, 
2,FivePoints,San Joaquin Valley,7/15/2014,196,0.32, ,0.00, ,656, ,15.5, ,97.0, ,74.2,Y,84.9, ,55, ,25, ,38, ,56.3, ,6.4, ,153.3, ,79.8, 
2,FivePoints,San Joaquin Valley,7/16/2014,197,0.31, ,0.00, ,688, ,14.8, ,93.8, ,66.8, ,80.8, ,62, ,27, ,41, ,55.1, ,6.9, ,164.6, ,79.8, 
2,FivePoints,San Joaquin Valley,7/17/2014,198,0.27, ,0.00, ,648, ,14.3, ,89.2, ,63.3, ,76.9, ,69, ,31, ,45, ,54.1, ,5.7, ,137.1, ,79.5, 
2,FivePoints,San Joaquin Valley,7/18/2014,199,0.28, ,0.00, ,678, ,14.8, ,91.2, ,60.6, ,76.4, ,69, ,31, ,47, ,55.0, ,6.1, ,145.6, ,78.9, 
2,FivePoints,San Joaquin Valley,7/19/2014,200,0.21, ,0.00, ,474, ,15.8, ,92.0, ,64.4, ,78.7, ,69, ,32, ,47, ,56.9, ,5.5, ,133.0, ,79.0, 
2,FivePoints,San Joaquin Valley,7/20/2014,201,0.29, ,0.00, ,623, ,16.0, ,94.7, ,67.7, ,81.6, ,65, ,30, ,43, ,57.3, ,7.0, ,167.2, ,79.2, 
2,FivePoints,San Joaquin Valley,7/21/2014,202,0.28, ,0.00, ,674, ,16.6, ,92.1, ,63.8, ,78.3, ,75, ,33, ,50, ,58.3, ,6.0, ,144.3, ,79.3, 
2,FivePoints,San Joaquin Valley,7/22/2014,203,0.29, ,0.00, ,859,R,15.8, ,96.0, ,68.5, ,84.8, ,68, ,26, ,39, ,56.9, ,6.9, ,165.0, ,79.4, 
2,FivePoints,San Joaquin Valley,7/23/2014,204,0.29, ,0.00, ,707, ,14.7, ,87.7, ,60.9, ,74.6, ,79, ,31, ,50, ,55.0, ,9.3,Y,223.2,Y,78.7, 
2,FivePoints,San Joaquin Valley,7/24/2014,205,0.30, ,0.00, ,704, ,13.1, ,93.0, ,59.3, ,77.9, ,69, ,24, ,40, ,51.6, ,6.3, ,150.2, ,78.1, 
2,FivePoints,San Joaquin Valley,7/25/2014,206,0.31, ,0.00, ,685, ,12.5, ,98.0, ,61.2, ,82.2, ,63, ,19, ,33, ,50.5, ,5.0, ,118.8, ,79.2, 
2,FivePoints,San Joaquin Valley,7/26/2014,207,0.32, ,0.00, ,689, ,11.7, ,101.3, ,63.5, ,85.0, ,57, ,16, ,28, ,48.7, ,4.9, ,117.2, ,79.5, 
2,FivePoints,San Joaquin Valley,7/27/2014,208,0.32, ,0.00, ,660, ,11.4, ,103.1, ,66.3, ,85.9, ,53, ,16, ,27, ,48.1, ,5.3, ,127.2, ,79.4, 
2,FivePoints,San Joaquin Valley,7/28/2014,209,0.14, ,0.00, ,263, ,11.0, ,91.0, ,71.0, ,80.8, ,46, ,21, ,31, ,47.1, ,3.6, ,85.3, ,79.0, 
2,FivePoints,San Joaquin Valley,7/29/2014,210,0.31, ,0.00, ,639, ,12.6, ,100.2, ,67.3, ,85.4, ,52, ,18, ,30, ,50.6, ,5.0, ,120.6, ,78.7, 
2,FivePoints,San Joaquin Valley,7/30/2014,211,0.28, ,0.00, ,526, ,13.0, ,98.6, ,71.7, ,85.4, ,45, ,20, ,31, ,51.5, ,4.9, ,116.8, ,78.8, 
2,FivePoints,San Joaquin Valley,7/31/2014,212,0.33, ,0.00, ,644, ,12.0, ,103.4, ,68.8, ,86.9, ,52, ,15, ,28, ,49.4, ,5.5, ,132.2, ,78.8, 
2,FivePoints,San Joaquin Valley,8/1/2014,213,0.33, ,0.00, ,687, ,10.0, ,104.3, ,63.5, ,85.5, ,56, ,11, ,24, ,44.4, ,5.4, ,130.0, ,78.8, 
2,FivePoints,San Joaquin Valley,8/2/2014,214,0.35, ,0.00, ,671, ,10.3, ,102.8, ,64.4, ,86.4, ,49, ,12, ,24, ,45.3, ,6.9, ,164.6, ,78.4, 
2,FivePoints,San Joaquin Valley,8/3/2014,215,0.17, ,0.00, ,282, ,13.5, ,89.7, ,69.7, ,79.6, ,55, ,29, ,39, ,52.6, ,5.4, ,130.0, ,77.6, 
2,FivePoints,San Joaquin Valley,8/4/2014,216,0.29, ,0.00, ,627, ,14.7, ,87.2, ,69.3, ,77.5, ,58, ,31, ,46, ,54.9, ,7.9, ,189.0, ,77.1, 
