"County","Sector","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"ALAMEDA","Non-Residential","    7619.304491","    7445.556909","    8087.656147","    7873.882100","    7341.708151","    7408.645462","    7634.447579","    7592.708714","    7955.624590","    7701.202729","    7342.253998","    8181.910616","    8766.192606","    8064.085329","    8040.891948","    7773.367939","    7662.431120","    7613.366379","    7443.365995","    7736.055471","    7766.058995","    7193.581963","    7823.244481","    7769.025061","    7309.930938","    6668.237122","    7260.776432","    6822.523242","    6809.573768","    7109.299895","  227816.910170"
"ALAMEDA","Residential","    3064.781376","    2945.804917","    2991.794416","    2917.342741","    2893.676837","    2891.232325","    2984.213677","    2998.246885","    3023.830340","    3021.008265","    3016.259087","    2996.061668","    2971.652195","    3118.114844","    3025.149538","    2897.764371","    2937.070283","    2811.610305","    2745.201964","    2926.106226","    2890.765488","    2791.331196","    2674.834394","    2615.308775","    2548.457958","    2774.566317","    2529.229286","    2465.000074","    2515.209970","    2498.265626","   85479.891344"
"ALAMEDA","Total","   10684.085867","   10391.361826","   11079.450563","   10791.224841","   10235.384987","   10299.877787","   10618.661255","   10590.955599","   10979.454929","   10722.210994","   10358.513085","   11177.972284","   11737.844800","   11182.200173","   11066.041486","   10671.132309","   10599.501403","   10424.976683","   10188.567959","   10662.161697","   10656.824483","    9984.913160","   10498.078875","   10384.333836","    9858.388895","    9442.803439","    9790.005719","    9287.523316","    9324.783738","    9607.565521","  313296.801509"
"ALPINE","Non-Residential","       8.774426","       9.283298","       9.025215","       8.124741","       4.354396","       4.008389","       4.752038","       4.590161","       5.199864","       5.203784","       5.234789","       9.368614","      10.685739","       9.377073","       9.132023","       9.431229","       5.112883","       4.671739","       5.081493","       5.159971","       4.617177","       4.832369","       4.468048","       4.384382","       4.296693","       4.382027","       4.485710","       4.224083","       3.906455","       3.581764","     179.750573"
"ALPINE","Residential","      10.131788","       9.420910","       9.951697","       9.290913","      11.855504","      11.974975","      13.424431","       9.298178","       9.093424","      12.451971","      13.029405","       8.899778","       9.326645","       9.537211","       8.090874","       8.996372","       6.352394","       6.720953","       6.858448","       6.247035","       6.597345","       6.792005","       6.373298","       6.063832","       6.231561","       6.183168","       6.812776","       5.808735","       6.165242","       6.036978","     254.017846"
"ALPINE","Total","      18.906214","      18.704208","      18.976912","      17.415654","      16.209900","      15.983364","      18.176468","      13.888339","      14.293288","      17.655755","      18.264193","      18.268392","      20.012384","      18.914285","      17.222897","      18.427601","      11.465277","      11.392691","      11.939940","      11.407006","      11.214522","      11.624374","      10.841346","      10.448214","      10.528255","      10.565195","      11.298486","      10.032819","      10.071697","       9.618742","     433.768418"
"AMADOR","Non-Residential","     177.195934","     167.197304","     169.803448","     173.577629","     152.516800","     154.757105","     170.871558","     180.777745","     169.941664","     175.688511","     184.004044","     187.966178","     179.875776","     165.131924","     160.614081","     165.141794","     142.221056","     135.653067","     184.203332","     234.823388","     210.300322","     202.301530","     202.236642","     215.584166","     250.567387","     240.483146","     243.300856","     229.513190","     229.794500","     210.889226","    5666.933303"
"AMADOR","Residential","     140.689119","     136.895373","     143.509418","     135.516470","     132.791638","     134.744387","     139.472718","     141.054038","     140.216069","     139.890453","     142.896522","     144.103067","     142.609434","     142.536257","     134.397976","     135.642740","     129.159655","     126.436871","     121.403464","     127.238094","     124.602037","     123.223191","     114.815322","     115.017917","     110.744724","     110.372675","     109.035503","     105.907059","     108.875556","     105.093388","    3858.891135"
"AMADOR","Total","     317.885054","     304.092677","     313.312866","     309.094100","     285.308438","     289.501492","     310.344276","     321.831782","     310.157732","     315.578963","     326.900566","     332.069245","     322.485210","     307.668181","     295.012057","     300.784533","     271.380711","     262.089938","     305.606796","     362.061481","     334.902359","     325.524721","     317.051964","     330.602083","     361.312111","     350.855821","     352.336359","     335.420249","     338.670056","     315.982614","    9525.824435"
"BUTTE","Non-Residential","     726.917845","     758.045561","     769.589586","     760.868006","     779.710133","     770.537084","     773.135389","     768.007049","     708.437380","     699.309165","     716.956047","     741.000534","     795.953415","     716.139687","     670.042205","     686.968539","     664.905769","     710.391729","     643.681863","     858.737526","     755.056133","     663.718453","     944.057618","     776.793460","     721.017567","     962.960481","     694.270068","     728.857099","     754.417745","     853.894130","   22574.377266"
"BUTTE","Residential","     669.328499","     717.743260","     760.229021","     721.205754","     712.388497","     718.947064","     729.845116","     738.780910","     725.656559","     718.735943","     731.353210","     723.830546","     714.856899","     708.370307","     685.815290","     689.675374","     658.653550","     638.649397","     604.695799","     705.766172","     629.147565","     616.781540","     597.449897","     594.667475","     559.101202","     556.276390","     551.043168","     555.149304","     553.073852","     547.901570","   19835.119130"
"BUTTE","Total","    1396.246344","    1475.788821","    1529.818607","    1482.073760","    1492.098630","    1489.484147","    1502.980505","    1506.787959","    1434.093939","    1418.045108","    1448.309256","    1464.831080","    1510.810315","    1424.509993","    1355.857496","    1376.643913","    1323.559319","    1349.041126","    1248.377662","    1564.503698","    1384.203698","    1280.499993","    1541.507515","    1371.460934","    1280.118768","    1519.236871","    1245.313236","    1284.006403","    1307.491598","    1401.795701","   42409.496395"
"CALAVERAS","Non-Residential","     125.193717","     130.520234","     133.624531","     118.182336","     120.464880","     127.127444","     126.923925","     125.123322","     125.688377","     117.987276","     122.356485","     119.260935","     122.200684","     123.233178","     119.914164","      99.100947","      94.783209","      97.364260","      86.515141","      81.848138","      79.783645","      76.174609","      76.243264","      69.294418","      65.145714","      86.719368","     101.921925","     107.287440","     108.402558","     105.650088","    3194.036212"
"CALAVERAS","Residential","     205.365353","     201.833277","     214.306906","     197.961265","     191.155224","     192.543967","     199.732952","     201.495546","     200.495354","     197.983760","     201.979922","     200.669688","     199.915466","     195.003642","     187.913940","     189.230418","     177.238243","     175.348867","     168.843345","     173.578409","     170.901166","     167.369797","     157.714415","     153.829455","     148.585115","     146.123388","     145.291775","     140.066797","     143.201069","     138.299372","    5383.977893"
