,County,2019,2018,2017,2016,2015,2014,2013
2,ALAMEDA,10684.085867,10391.361826,11079.450563,10791.224841,10235.384987000001,10299.877787000001,10618.661254999999
5,ALPINE,18.906214000000002,18.704207999999998,18.976912,17.415654,16.2099,15.983364000000002,18.176468
8,AMADOR,317.885054,304.092677,313.31286600000004,309.0941,285.30843799999997,289.501492,310.344276
11,BUTTE,1396.246344,1475.788821,1529.818607,1482.07376,1492.0986300000002,1489.4841470000001,1502.980505
14,CALAVERAS,330.55907,332.35351099999997,347.931437,316.143601,311.620104,319.671411,326.656878
17,COLUSA,285.48514,297.12716800000004,292.588058,296.877388,306.202966,304.30813,298.17031299999996
20,CONTRA COSTA,9639.409434000001,9258.840179,9689.88902,9589.785769,9467.333569,9588.186109999999,9134.588171
23,DEL NORTE,210.25367000000003,207.026847,216.930845,204.701976,211.884017,203.417564,225.977238
26,EL DORADO,1227.890625,1214.446675,1255.275737,1210.248427,1170.078156,1189.771417,1241.48316
29,FRESNO,7387.264573,7602.4089030000005,7380.7337769999995,7581.155954000001,7655.996169,7668.799822,7499.041386
32,GLENN,394.097988,407.158438,390.97992,366.088423,384.03992400000004,381.252302,349.691017
35,HUMBOLDT,791.3641719999999,799.993602,824.27701,836.35236,824.665568,840.885749,891.512
38,IMPERIAL,1415.790908,1467.5906380000001,1445.167336,1440.4930160000001,1419.08813,1446.488218,1450.519984
41,INYO,208.606317,209.222698,204.638048,230.20069300000003,208.190977,214.983664,233.12080899999998
44,KERN,17105.082388,15917.370503999999,18492.584856999998,16547.82773,15182.337775,14324.444125999999,15059.296449000001
47,KINGS,1583.0713460000002,1758.379152,1497.847435,1779.141257,1773.649744,1817.1075039999998,1784.791084
50,LAKE,446.07129299999997,441.622882,463.87020700000005,440.62143899999995,430.63108200000005,441.31608700000004,470.09815499999996
53,LASSEN,403.756483,410.985705,385.690994,457.20594800000003,400.58783,431.865035,425.94427300000007
56,LOS ANGELES,66118.67300499999,67907.482625,68656.720182,69414.044656,69532.293389,69953.419146,68373.298413
59,MADERA,1568.0079130000001,1649.620899,1588.062426,1586.448712,1697.6174879999999,1664.082995,1577.583477
62,MARIN,1355.342745,1328.249462,1383.982879,1342.378889,1354.45392,1355.224757,1396.080706
65,MARIPOSA,109.73105600000001,112.753964,111.427108,107.67039399999999,106.605056,109.72093799999999,113.195728
68,MENDOCINO,562.262881,564.444775,584.998686,578.074458,566.8785190000001,564.044566,593.192566
71,MERCED,3698.606433,3551.34081,3966.0788049999996,3462.87139,2920.429811,3020.0126170000003,3056.8846559999997
74,MODOC,145.174152,148.953944,152.795345,152.090701,164.67070800000002,167.937403,169.104927
77,MONO,205.216773,196.881816,199.437613,189.66800800000001,188.889861,191.58445600000002,204.417686
80,MONTEREY,2470.652329,2495.0273230000003,2572.162923,2571.170109,2663.120104,2615.410895,2634.329979
83,NAPA,1042.999221,1033.056489,1058.686989,1054.482349,1049.6845230000001,1044.103121,1051.544652
86,NEVADA,712.5410320000001,713.892438,740.8550190000001,658.771786,626.086897,633.495324,656.125319
89,ORANGE,19459.508543,20007.67465,20201.473448,20221.3016,20722.439009,20746.732780000002,20280.637251
92,PLACER,2914.872353,2901.811168,2966.178122,2932.113325,2889.220675,2913.040004,2877.4604289999997
95,PLUMAS,210.48831099999998,205.658471,201.5629,202.804473,193.99213600000002,200.525731,211.83468100000002
98,RIVERSIDE,15520.129785,15877.45484,15857.730862999999,15409.361418,15252.657884999999,15533.937153,15138.415993999999
101,SACRAMENTO,10828.21714,10852.257351,11322.854413,10754.477495000001,10832.385418,10903.886951,10744.330179999999
104,SAN BENITO,379.87042,383.367898,377.675898,380.906658,367.067939,355.84817200000003,357.549938
107,SAN BERNARDINO,14987.210319999998,15371.557356,15283.329154,14946.910952,14732.329241999998,14732.812969999999,14375.326790000001
110,SAN DIEGO,19047.674168,19732.624780000002,19667.445537,19665.67764,19894.493440000002,19998.953247999998,19687.538189
113,SAN FRANCISCO,5603.604207,5624.688568,5718.218196,5745.486679,5797.881842,5842.809011,5887.395782
116,SAN JOAQUIN,5583.337799,5658.477632,5626.5680600000005,5430.762061,5141.428870000001,5211.026533,5524.571739999999
119,SAN LUIS OBISPO,1707.385625,1767.876205,1765.635818,1732.6863879999999,1707.9867329999997,1723.6716940000001,1765.1894829999999
122,SAN MATEO,4325.2793710000005,4255.613104999999,4357.451774,4341.76004,4435.018942000001,4457.049025,4532.321362
125,SANTA BARBARA,2757.613073,2832.535591,2805.702475,2853.615136,3109.1646960000003,3411.3139079999996,3374.324957
128,SANTA CLARA,16664.460569,16703.552664,17016.72764,16814.634749,16794.808199,16661.945531999998,16572.119283
131,SANTA CRUZ,1200.684246,1213.469939,1223.065961,1225.619041,1234.7600619999998,1238.1977570000001,1276.210194
134,SHASTA,1535.590927,1567.861733,1574.746533,1555.0814710000002,1561.7787130000002,1544.47036,1548.717065
137,SIERRA,21.994344,21.069957000000002,21.874617999999998,25.917939999999998,24.122493,23.672012,23.526807
140,SISKIYOU,495.64119500000004,495.135053,508.367638,492.68758399999996,494.485866,485.46576500000003,500.398866
143,SOLANO,3226.597752,3267.953082,3217.1779079999997,3211.443142,3209.299202,3216.075906,3228.341275
146,SONOMA,2880.398809,2911.104765,3005.604032,2950.6633269999998,2933.788772,2938.685159,2964.663484
149,STANISLAUS,4750.062635,4805.516459,4865.514147,4751.299871,4751.572054,4744.005295,4670.939129
152,SUTTER,632.0893990000001,632.15114,641.867213,628.180933,644.876349,647.985377,647.158762
155,TEHAMA,507.73624800000005,505.91439699999995,517.028266,495.86951,495.540161,492.32195199999995,506.69748
158,TRINITY,135.048361,130.471273,137.27198,128.55454699999999,111.146524,117.679321,119.380785
161,TULARE,4162.198178000001,4430.86336,4238.98489,4360.484536,4475.250081,4462.841587,4286.393968
164,TUOLUMNE,452.64424,453.499795,460.439815,447.462212,441.686314,440.248371,460.722738
167,VENTURA,5344.035137,5446.199174,5508.925934000001,5455.495304,5591.098091,5486.039211,5397.690876
170,YOLO,1720.7462890000002,1712.51793,1739.58072,1699.4457170000003,1698.1256190000001,1735.716026,1699.953189
173,YUBA,511.726005,503.072195,504.677924,481.14010199999996,478.05889800000006,487.97039900000004,489.022276
