,AcresBurned,ArchiveYear,CalFireIncident,Counties,CountyIds,Latitude,Longitude,MajorIncident,Name,PersonnelInvolved,Started
0,257314.0,2013,TRUE,Tuolumne,55,37.857,-120.086,FALSE,Rim Fire,,2013-08-17T15:25:00Z
1,30274.0,2013,TRUE,Los Angeles,19,34.585595,-118.423176,FALSE,Powerhouse Fire,,2013-05-30T15:28:00Z
2,27531.0,2013,TRUE,Riverside,33,33.7095,-116.72885,FALSE,Mountain Fire,,2013-07-15T13:43:00Z
3,27440.0,2013,FALSE,Placer,31,39.12,-120.65,FALSE,American Fire,,2013-08-10T16:30:00Z
4,24251.0,2013,TRUE,Ventura,56,0.0,0.0,TRUE,Springs Fire,2167.0,2013-05-02T07:01:00Z
5,22992.0,2013,FALSE,Fresno,10,37.279,-119.318,FALSE,Aspen Fire,,2013-07-22T22:15:00Z
6,20292.0,2013,TRUE,Riverside,33,33.86157,-116.90427,TRUE,Silver Fire,2106.0,2013-08-07T14:05:00Z
7,14754.0,2013,FALSE,Siskiyou,47,41.32,-123.176,FALSE,Salmon River Complex,,2013-07-31T22:00:00Z
8,12503.0,2013,FALSE,Humboldt,12,41.035,-123.488,FALSE,Corral Complex,,2013-08-10T11:40:00Z
9,11429.0,2013,TRUE,Tehama,52,40.042630000000000,-121.85397000000000,TRUE,Deer Fire,898.0,2013-08-23T14:15:00Z
10,8073.0,2013,TRUE,Shasta,45,40.498332,-122.535496,TRUE,Clover Fire,342.0,2013-09-09T12:32:00Z
11,7055.0,2013,TRUE,San Diego,37,32.95435,-116.47381000000000,TRUE,Chariot Fire,2147.0,2013-07-06T12:55:00Z
12,6965.0,2013,TRUE,Tehama,52,40.190062,-121.595555,TRUE,Panther Fire,1811.0,2013-05-01T09:12:00Z
13,4346.0,2013,TRUE,Kern,15,34.7861,-118.9411,TRUE,Grand Fire,847.0,2013-05-15T12:50:00Z
14,4346.0,2013,TRUE,Ventura,56,34.7861,-118.9411,TRUE,Grand Fire,847.0,2013-05-15T12:50:00Z
15,3505.0,2013,TRUE,Sonoma,49,38.8167,-122.8498,TRUE,McCabe Fire,188.0,2013-11-22T02:04:00Z
16,3166.0,2013,TRUE,Riverside,33,34.288877,-116.94131100000000,TRUE,Summit Fire,726.0,2013-05-01T12:38:00Z
17,3111.0,2013,TRUE,Contra Costa,7,37.90757,-121.88258200000000,TRUE,Morgan Fire,231.0,2013-09-08T13:08:00Z
18,2781.0,2013,TRUE,San Diego,37,33.121110000000000,-116.52579000000000,TRUE,San Felipe Fire,911.0,2013-05-23T12:20:00Z
19,2462.0,2013,TRUE,Butte,4,39.446268000000000,-121.38236,TRUE,Swedes Fire,1484.0,2013-08-16T16:37:00Z
20,2236.0,2013,FALSE,San Diego,37,33.341,-117.3092,FALSE,DeLuz Fire,,2013-10-05T12:45:00Z
21,2060.0,2013,FALSE,Tulare,54,36.208,-118.444,FALSE,Fish Fire,,2013-08-24T14:31:00Z
22,1984.0,2013,FALSE,Santa Barbara,42,34.55048,-119.82429000000000,FALSE,White Fire,,2013-05-27T14:45:00Z
23,1708.0,2013,TRUE,Mariposa,22,37.58202,-119.91071000000000,TRUE,Carstens Fire,112.0,2013-06-16T14:12:00Z
24,1383.0,2013,TRUE,Riverside,33,33.62236,-117.40288000000000,FALSE,Falls Fire,,2013-08-05T10:10:00Z
25,1271.0,2013,TRUE,San Diego,37,33.044580000000000,-116.5209,TRUE,General Fire,1217.0,2013-05-26T12:04:00Z
26,1070.0,2013,FALSE,Tuolumne,55,38.25108,-120.02778,FALSE,Power Fire,,2013-08-05T06:00:00Z
27,917.0,2013,FALSE,Monterey,27,0.0,0.0,FALSE,Pfeiffer Fire,,2013-12-16T00:20:00Z
28,794.0,2013,FALSE,Kern,15,35.707,-118.588,FALSE,Shirley Fire,,2013-08-18T23:12:00Z
29,712.0,2013,TRUE,Kern,15,34.882,-118.9194,TRUE,Rancho Fire,502.0,2013-07-19T12:00:00Z
30,712.0,2013,TRUE,Los Angeles,19,34.49149,-118.61004400000000,FALSE,Lake Fire,,2013-05-17T13:23:00Z
31,612.0,2013,TRUE,Kern,15,34.90327,-118.93388,FALSE,Water Fire,,2013-07-23T09:15:00Z
32,572.0,2013,FALSE,El Dorado,9,38.774,-120.29800000000000,FALSE,Kyburz Fire,,2013-07-08T12:45:00Z
33,534.0,2013,TRUE,San Bernardino,36,34.071556,-117.048397,TRUE,Mills Fire,282.0,2013-06-28T14:30:00Z
34,513.0,2013,FALSE,Plumas,32,40.00842,-120.76466600000000,FALSE,Plumas Lightning Complex (Hough),,2013-08-18T18:30:00Z
