,longitude,latitude,population,households,median_income,median_house_value,ocean_proximity,County
0,-124.35,40.54,806.0,270.0,3.0147,94600.0,NEAR OCEAN,Humboldt County
1,-124.3,41.8,1298.0,478.0,1.9797,85800.0,NEAR OCEAN,Del Norte County
2,-124.3,41.84,1244.0,456.0,3.0313,103600.0,NEAR OCEAN,Del Norte County
3,-124.27,40.69,1194.0,465.0,2.5179,79000.0,NEAR OCEAN,Humboldt County
4,-124.26,40.58,907.0,369.0,2.3571,111400.0,NEAR OCEAN,Humboldt County
5,-124.25,40.28,434.0,187.0,1.9417,76100.0,NEAR OCEAN,Humboldt County
6,-124.23,40.54,1152.0,435.0,3.0806,106700.0,NEAR OCEAN,Humboldt County
7,-124.23,40.81,544.0,172.0,3.3462,50800.0,NEAR OCEAN,Humboldt County
8,-124.23,41.75,1343.0,479.0,2.4805,73200.0,NEAR OCEAN,Del Norte County
9,-124.22,41.73,1530.0,653.0,1.7038,78300.0,NEAR OCEAN,Del Norte County
10,-124.21,40.75,620.0,268.0,1.6528,58100.0,NEAR OCEAN,Humboldt County
11,-124.21,41.75,1993.0,721.0,2.0074,66900.0,NEAR OCEAN,Del Norte County
12,-124.21,41.77,1947.0,647.0,2.5795,68400.0,NEAR OCEAN,Del Norte County
13,-124.19,40.73,2907.0,972.0,3.5363,90100.0,NEAR OCEAN,Humboldt County
14,-124.19,40.77,1367.0,583.0,2.4419999999999997,69000.0,NEAR OCEAN,Humboldt County
15,-124.19,40.78,640.0,260.0,1.8242,70000.0,NEAR OCEAN,Humboldt County
16,-124.19,41.78,1645.0,640.0,1.6654,74600.0,NEAR OCEAN,Del Norte County
17,-124.18,40.62,480.0,179.0,3.0536,107000.0,NEAR OCEAN,Humboldt County
18,-124.18,40.78,2473.0,863.0,2.407966666666667,69800.0,NEAR OCEAN,Humboldt County
19,-124.18,40.79,1671.0,616.0,1.6059,67550.0,NEAR OCEAN,Humboldt County
20,-124.17,40.62,706.0,277.0,2.8958,86400.0,NEAR OCEAN,Humboldt County
21,-124.17,40.74,873.0,313.0,4.0357,128900.0,NEAR OCEAN,Humboldt County
22,-124.17,40.75,951.0,353.0,4.8516,116100.0,NEAR OCEAN,Humboldt County
23,-124.17,40.76,992.0,380.0,2.8056,82800.0,NEAR OCEAN,Humboldt County
24,-124.17,40.77,990.0,359.0,2.2227,81300.0,NEAR OCEAN,Humboldt County
25,-124.17,40.78,731.0,327.0,1.6369,68300.0,NEAR OCEAN,Humboldt County
26,-124.17,40.79,1169.0,482.0,1.9688,70500.0,NEAR OCEAN,Humboldt County
27,-124.17,40.8,2041.0,930.0,1.4649666666666665,66000.0,NEAR OCEAN,Humboldt County
28,-124.17,41.76,1282.0,514.0,2.4605,105900.0,NEAR OCEAN,Del Norte County
29,-124.17,41.8,1259.0,436.0,3.7557,109400.0,NEAR OCEAN,Del Norte County
30,-124.16,40.6,642.0,292.0,2.4519,85100.0,NEAR OCEAN,Humboldt County
31,-124.16,40.77,1053.0,434.0,2.8529,85600.0,NEAR OCEAN,Humboldt County
32,-124.16,40.78,2560.0,1097.0,3.0818333333333334,83066.66666666667,NEAR OCEAN,Humboldt County
33,-124.16,40.79,2772.0,1255.0,2.0493,86733.33333333333,NEAR OCEAN,Humboldt County
34,-124.16,40.8,3010.0,1457.0,1.4935,76433.33333333333,NEAR OCEAN,Humboldt County
35,-124.16,40.95,529.0,196.0,3.1406,96000.0,NEAR OCEAN,Humboldt County
36,-124.16,41.02,1060.0,390.0,2.1726,75500.0,NEAR OCEAN,Humboldt County
37,-124.16,41.74,1532.0,530.0,2.1829,69500.0,NEAR OCEAN,Del Norte County
38,-124.16,41.92,841.0,283.0,2.1336,75000.0,NEAR OCEAN,Del Norte County
39,-124.15,40.59,539.0,212.0,2.0938,79600.0,NEAR OCEAN,Humboldt County
40,-124.15,40.76,1388.0,512.0,3.375,100600.0,NEAR OCEAN,Humboldt County
41,-124.15,40.78,1740.0,717.0,3.28475,97100.0,NEAR OCEAN,Humboldt County
42,-124.15,40.79,1263.0,486.0,3.0216,86400.0,NEAR OCEAN,Humboldt County
43,-124.15,40.8,765.0,329.0,1.755,74100.0,NEAR OCEAN,Humboldt County
44,-124.15,40.81,235.0,83.0,1.75,67500.0,NEAR OCEAN,Humboldt County
45,-124.15,40.88,1165.0,441.0,1.725,57500.0,NEAR OCEAN,Humboldt County
46,-124.15,41.81,3546.0,585.0,2.2868,103100.0,NEAR OCEAN,Del Norte County
47,-124.14,40.57,1314.0,562.0,2.1354,75100.0,<1H OCEAN,Humboldt County
48,-124.14,40.58,891.0,355.0,2.6987,92500.0,<1H OCEAN,Humboldt County
49,-124.14,40.59,2370.0,966.0,1.87025,71800.0,NEAR OCEAN,Humboldt County
50,-124.14,40.6,521.0,219.0,4.025,128100.0,NEAR OCEAN,Humboldt County
51,-124.14,40.67,320.0,109.0,4.2054,130600.0,NEAR OCEAN,Humboldt County
52,-124.14,40.72,1375.0,503.0,2.8446,100500.0,NEAR OCEAN,Humboldt County
53,-124.14,40.77,1407.0,571.0,2.9143,99600.0,NEAR OCEAN,Humboldt County
54,-124.14,40.78,982.0,432.0,3.4219,92800.0,NEAR OCEAN,Humboldt County
55,-124.14,40.79,873.0,291.0,2.4896,81000.0,NEAR OCEAN,Humboldt County
56,-124.14,40.8,872.0,306.0,2.5,72600.0,NEAR OCEAN,Humboldt County
57,-124.14,41.06,421.0,198.0,3.0208,143400.0,NEAR OCEAN,Humboldt County
58,-124.14,41.95,1208.0,494.0,2.275,122400.0,NEAR OCEAN,Del Norte County
59,-124.13,40.55,240.0,91.0,3.25,94800.0,<1H OCEAN,Humboldt County
60,-124.13,40.62,910.0,389.0,2.5804,92100.0,NEAR OCEAN,Humboldt County
61,-124.13,40.78,1056.0,382.0,2.1101,86900.0,NEAR OCEAN,Humboldt County
62,-124.13,40.79,1985.0,773.0,3.2333,87900.0,NEAR OCEAN,Humboldt County
63,-124.13,40.8,1259.0,420.0,2.2478,81100.0,NEAR OCEAN,Humboldt County
64,-124.11,40.57,573.0,236.0,2.4896,74100.0,<1H OCEAN,Humboldt County
65,-124.11,40.81,425.0,175.0,2.5536,96100.0,NEAR OCEAN,Humboldt County
66,-124.11,40.93,2246.0,818.0,3.13575,81900.0,NEAR OCEAN,Humboldt County
67,-124.11,40.95,866.0,342.0,2.96,81700.0,NEAR OCEAN,Humboldt County
68,-124.1,40.47,965.0,265.0,3.5345,55000.0,<1H OCEAN,Humboldt County
69,-124.1,40.5,2296.0,878.0,1.99655,64900.0,<1H OCEAN,Humboldt County
70,-124.1,40.73,334.0,121.0,3.9659,111800.0,NEAR OCEAN,Humboldt County
71,-124.1,40.88,1581.0,585.0,2.0657,81100.0,NEAR OCEAN,Humboldt County
72,-124.1,40.9,1948.0,775.0,2.7321,92600.0,NEAR OCEAN,Humboldt County
73,-124.1,40.95,823.0,316.0,1.8993,78400.0,NEAR OCEAN,Humboldt County
74,-124.1,41.04,890.0,370.0,1.9741,97900.0,NEAR OCEAN,Humboldt County
75,-124.09,40.44,1041.0,401.0,2.3947,70500.0,<1H OCEAN,Humboldt County
76,-124.09,40.55,1370.0,480.0,2.7644,97300.0,<1H OCEAN,Humboldt County
