,Name,County,County IDs,Latitude,Longitude,Started,Year,Acres Burned,Cal Fire Incident,Major Incident
326,Christensen Fire,Alameda,1,37.6,-121.72,2015-05-28 17:00:00+00:00,2015,242,TRUE,FALSE
396,Geary Fire,Alameda,1,37.6,-121.72,2015-07-02 04:40:00+00:00,2015,45,TRUE,FALSE
70,Highland Fire,Alameda,1,37.6,-121.72,2013-10-04 07:35:00+00:00,2013,150,TRUE,FALSE
323,Site Fire,Alameda,1,37.6,-121.72,2015-06-05 20:22:00+00:00,2015,300,TRUE,FALSE
391,Tesla Fire,Alameda,1,37.6,-121.72,2015-06-25 16:10:00+00:00,2015,53,TRUE,FALSE
321,Ione Fire,Amador,3,38.34,-120.93,2015-07-02 01:58:00+00:00,2015,355,TRUE,TRUE
605,Willow Fire,Amador,3,38.35,-120.77,2016-08-30 16:52:00+00:00,2016,19,TRUE,TRUE
109,Cedar Fire,Butte,4,39.63,-121.54,2013-05-01 04:16:00+00:00,2013,72,TRUE,TRUE
252,Honcut Fire,Butte,4,39.63,-121.54,2014-01-01 10:46:00+00:00,2014,60,TRUE,FALSE
310,Meridian Fire,Butte,4,39.63,-121.54,2015-10-03 21:15:00+00:00,2015,860,TRUE,TRUE
74,Neal Fire,Butte,4,39.63,-121.54,2013-05-22 00:56:00+00:00,2013,150,TRUE,TRUE
577,Neal Fire,Butte,4,39.63,-121.54,2016-07-28 14:27:00+00:00,2016,35,TRUE,FALSE
208,Web Fire,Butte,4,39.63,-121.54,2014-07-28 13:11:00+00:00,2014,389,TRUE,TRUE
375,Webb Fire,Butte,4,39.63,-121.54,2015-07-01 13:05:00+00:00,2015,75,TRUE,FALSE
538,Cheyenne Fire,Calaveras,5,38.2,-120.68,2016-06-15 12:46:00+00:00,2016,83,TRUE,TRUE
284,Gasquet Complex,Del Norte,8,41.71,-123.97,2015-07-31 21:00:00+00:00,2015,30361,FALSE,FALSE
289,Nickowitz Fire,Del Norte,8,41.71,-123.97,2015-08-01 23:23:00+00:00,2015,7509,FALSE,FALSE
406,Ranch Fire,El Dorado,9,38.74,-120.44,2015-07-03 09:28:00+00:00,2015,35,TRUE,FALSE
101,Butte Fire,Fresno,10,36.99,-119.23,2013-04-09 12:35:00+00:00,2013,80,TRUE,FALSE
397,FKU Lightning Fires,Fresno,10,36.99,-119.23,2015-06-05 17:00:00+00:00,2015,45,TRUE,FALSE
505,Hills Fire,Fresno,10,36.99,-119.23,2016-04-28 17:45:00+00:00,2016,151,TRUE,FALSE
380,Kerkhoff Fire,Fresno,10,36.99,-119.23,2015-07-18 16:31:00+00:00,2015,60,TRUE,FALSE
56,Daves Fire,Glenn,11,39.64,-122.45,2013-06-12 15:17:00+00:00,2013,226,FALSE,FALSE
294,Humboldt Lightning Fires,Humboldt,12,40.75,-123.87,2015-07-30 16:02:00+00:00,2015,4883,TRUE,TRUE
260,McClellan Fire,Humboldt,12,40.75,-123.87,2014-08-01 15:47:00+00:00,2014,37,TRUE,FALSE
250,June Fire,Inyo,14,36.31,-117.55,2014-09-16 19:07:00+00:00,2014,65,FALSE,FALSE
290,Round Fire,Inyo,14,36.31,-117.55,2015-02-06 14:07:00+00:00,2015,7000,TRUE,TRUE
487,Flat Fire,Kern,15,35.49,-118.86,2016-09-19 14:13:00+00:00,2016,306,TRUE,FALSE
342,Flat Fire ,Kern,15,35.49,-118.86,2015-08-20 15:57:00+00:00,2015,167,TRUE,FALSE
248,Ranch Fire,Kern,15,35.49,-118.86,2014-07-01 18:15:00+00:00,2014,70,FALSE,FALSE
1143,Twisselman Fire,Kern,15,35.49,-118.86,2018-05-16 16:30:00+00:00,2018,293,TRUE,FALSE
566,Walker Fire,Kern,15,35.49,-118.86,2016-05-30 17:57:00+00:00,2016,43,TRUE,FALSE
595,North Branch Extension Fire,Lake,17,39.1,-122.81,2016-07-29 14:55:00+00:00,2016,25,TRUE,FALSE
418,Oasis Fire,Lake,17,39.1,-122.81,2015-06-05 19:57:00+00:00,2015,25,TRUE,FALSE
234,Saratoga Fire,Lake,17,39.1,-122.81,2014-09-03 16:03:00+00:00,2014,100,TRUE,FALSE
567,Dockery Fire,Lassen,18,40.54,-120.71,2016-07-30 16:25:00+00:00,2016,42,TRUE,TRUE
357,Shinn Fire,Lassen,18,40.54,-120.71,2015-06-30 18:00:00+00:00,2015,111,FALSE,FALSE
320,Lincoln Fire,Los Angeles,19,34.02,-118.11,2015-08-16 13:30:00+00:00,2015,374,FALSE,FALSE
613,Old Fire,Los Angeles,19,34.18,-117.27,2016-06-04 16:09:00+00:00,2016,0,FALSE,FALSE
447,San Gabriel Complex (Formerly Fish & Reservoir Fires),Los Angeles,19,34.12,-117.91,2016-06-20 13:59:00+00:00,2016,5399,FALSE,FALSE
611,Sand Fire,Los Angeles,19,34.39,-118.54,2016-07-22 14:11:00+00:00,2016,0,FALSE,FALSE
322,Warm Fire,Los Angeles,19,34.05,-118.24,2015-08-16 15:30:00+00:00,2015,300,FALSE,FALSE
169,French Fire,Madera,20,37.25,-119.7,2014-07-28 05:45:00+00:00,2014,13838,FALSE,FALSE
159,Ranger Fire,Madera,20,37.25,-119.7,2013-05-12 13:02:00+00:00,2013,15,TRUE,FALSE
541,Serpa Fire,Madera,20,37.25,-119.7,2016-07-21 12:53:00+00:00,2016,80,TRUE,TRUE
315,Sky Fire,Madera,20,37.25,-119.7,2015-06-18 14:31:00+00:00,2015,500,FALSE,FALSE
195,Dark Hole Fire,Mariposa,22,37.49,-119.97,2014-07-17 01:00:00+00:00,2014,1080,FALSE,FALSE
179,El Portal Fire,Mariposa,22,37.49,-119.97,2014-07-26 17:00:00+00:00,2014,4689,FALSE,FALSE
