County,Year,Name,County IDs,Latitude,Longitude,Started,Acres Burned,Cal Fire Incident,Major Incident,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Avg Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Rel Hum (%),Dew Point (F),Avg Wind Speed (mph),Avg Soil Temp (F),MWh,Ocean Proximity,Population,Households,Average Income,Average House Value
Tuolumne,2013,Rim Fire,55,37.86,-120.09,2013-08-17 15:25:00+00:00,257314,t,f,174.53000000000043,10.539999999999987,451.2197802197802,10.936721611721609,104.1,20.9,59.58007380073795,99,0,61.117158671586715,45.477952029520296,4.918956043956049,61.116300366300365,460.72,INLAND,48456,17953,28035,124328
Los Angeles,2013,Powerhouse Fire,19,34.59,-118.42,2013-05-30 15:28:00+00:00,30274,t,f,585.5699999999993,40.279999999999994,448.6434279415817,10.350647204626803,110.5,9.6,62.793248828878525,100,0,51.038658328595794,41.9098351335986,4.157583264519675,63.35875530410175,68373.3,<1H OCEAN,8777895,2970038,43788,255083
Riverside,2013,Mountain Fire,33,33.71,-116.73,2013-07-15 13:43:00+00:00,27531,t,f,705.7600000000024,29.75000000000001,462.86552440290757,10.856196414653157,119.7,19,67.77426050856255,100,0,45.495943470295735,43.821015440984,4.654099636741037,66.37323980254612,15138.42,<1H OCEAN,1159159,400110,34210,141866
Placer,2013,American Fire,31,39.12,-120.65,2013-08-10 16:30:00+00:00,27440,f,f,56.37999999999996,5.700000000000001,429.4340659340659,9.8423076923077,106.6,26.4,62.42609890109892,100,10,50.901685393258425,42.3699438202247,3.4634615384615386,62.84835164835167,2877.46,INLAND,173793,64326,39368,172386
Ventura,2013,Springs Fire,56,34.37,-119.14,2013-05-02 07:01:00+00:00,24251,t,t,104.11000000000001,6.919999999999999,429.20054945054943,12.06112637362638,96.1,31.2,60.31593406593402,100,5,66.37774725274726,47.47623626373624,3.7608516483516468,64.02664835164836,5397.69,<1H OCEAN,663408,215793,47464,261187
Fresno,2013,Aspen Fire,10,37.28,-119.32,2013-07-22 22:15:00+00:00,22992,f,f,504.3999999999992,23.589999999999982,459.08089500860586,10.266792842395057,109.1,13.9,62.67023399862347,100,6,53.01776384535005,43.453187042842075,4.598176187198896,62.66254733218598,7499.04,INLAND,658377,218167,29646,86713
Riverside,2013,Silver Fire,33,33.86,-116.9,2013-08-07 14:05:00+00:00,20292,t,t,705.7600000000024,29.75000000000001,462.86552440290757,10.856196414653157,119.7,19,67.77426050856255,100,0,45.495943470295735,43.821015440984,4.654099636741037,66.37323980254612,15138.42,<1H OCEAN,1159159,400110,34210,141866
Siskiyou,2013,Salmon River Complex,47,41.32,-123.18,2013-07-31 22:00:00+00:00,14754,f,f,47.150000000000084,6.460000000000002,416.5192307692308,7.19285714285715,94.1,-15.4,46.128296703296684,100,10,62.193820224719104,32.719662921348316,4.680219780219784,50.6739010989011,500.4,INLAND,43531,17302,21730,68233
Shasta,2013,Clover Fire,45,40.5,-122.54,2013-09-09 12:32:00+00:00,8073,t,t,92.75000000000011,18.709999999999994,429.9792817679558,8.154820936639119,112.3,-13.4,54.40509641873277,100,8,54.41460055096419,36.79297520661157,4.0756198347107535,56.728512396694256,1548.72,INLAND,147036,55966,26161,91451
San Diego,2013,Chariot Fire,37,32.95,-116.47,2013-07-06 12:55:00+00:00,7055,t,t,308.8899999999999,20.46,433.4232536764706,12.538055937643307,116.8,21.4,62.57987161852359,100,0,64.1259990597085,47.9968970380818,3.690004585052727,65.07215496368055,19687.54,<1H OCEAN,2444026,882162,41120,208943
Kern,2013,Grand Fire,15,34.79,-118.94,2013-05-15 12:50:00+00:00,4346,t,t,200.76000000000013,9.389999999999999,453.06083333333333,10.111435726210342,108.6,17.3,62.23619683069218,100,-17,52.54553049289891,43.29582289055975,3.970033388981641,63.40033333333318,15059.3,INLAND,528995,179480,30395,84960
Ventura,2013,Grand Fire,56,34.79,-118.94,2013-05-15 12:50:00+00:00,4346,t,t,104.11000000000001,6.919999999999999,429.20054945054943,12.06112637362638,96.1,31.2,60.31593406593402,100,5,66.37774725274726,47.47623626373624,3.7608516483516468,64.02664835164836,5397.69,<1H OCEAN,663408,215793,47464,261187
Sonoma,2013,McCabe Fire,49,38.82,-122.85,2013-11-22 02:04:00+00:00,3505,t,t,139.90000000000026,19.539999999999992,421.0123711340206,10.127197802197799,101.9,16,53.1677884615384,100,0,71.2568870523416,43.42252066115705,3.229052197802201,58.54069423929101,2964.66,<1H OCEAN,386813,149006,37876,211934
Riverside,2013,Summit Fire,33,34.29,-116.94,2013-05-01 12:38:00+00:00,3166,t,t,705.7600000000024,29.75000000000001,462.86552440290757,10.856196414653157,119.7,19,67.77426050856255,100,0,45.495943470295735,43.821015440984,4.654099636741037,66.37323980254612,15138.42,<1H OCEAN,1159159,400110,34210,141866
Contra Costa,2013,Morgan Fire,7,37.91,-121.88,2013-09-08 13:08:00+00:00,3111,t,t,166.59999999999977,14.499999999999991,440.18694885361555,10.257495590828924,105.5,18.5,57.75176366843032,100,0,61.529982363315696,43.74074074074069,4.273192239858905,59.34102564102567,9134.59,<1H OCEAN,805315,301861,50644,233896
San Diego,2013,San Felipe Fire,37,33.12,-116.53,2013-05-23 12:20:00+00:00,2781,t,t,308.8899999999999,20.46,433.4232536764706,12.538055937643307,116.8,21.4,62.57987161852359,100,0,64.1259990597085,47.9968970380818,3.690004585052727,65.07215496368055,19687.54,<1H OCEAN,2444026,882162,41120,208943
Butte,2013,Swedes Fire,4,39.45,-121.38,2013-08-16 16:37:00+00:00,2462,t,t,51.43999999999999,9.329999999999998,427.1923076923077,11.56868131868132,105.5,19.4,59.51895604395608,100,0,62.78512396694215,46.00909090909088,3.3604395604395605,60.376373626373635,1502.98,INLAND,182120,71665,23777,90108
San Diego,2013,DeLuz Fire,37,33.34,-117.31,2013-10-05 12:45:00+00:00,2236,f,f,308.8899999999999,20.46,433.4232536764706,12.538055937643307,116.8,21.4,62.57987161852359,100,0,64.1259990597085,47.9968970380818,3.690004585052727,65.07215496368055,19687.54,<1H OCEAN,2444026,882162,41120,208943
