Name,County,County IDs,Latitude,Longitude,Started,Year,Acres Burned,Cal Fire Incident,Major Incident
Rim Fire,Tuolumne,55,37.86,-120.09,2013-08-17 15:25:00+00:00,2013,257314,True,False
Powerhouse Fire,Los Angeles,19,34.59,-118.42,2013-05-30 15:28:00+00:00,2013,30274,True,False
Mountain Fire,Riverside,33,33.71,-116.73,2013-07-15 13:43:00+00:00,2013,27531,True,False
American Fire,Placer,31,39.12,-120.65,2013-08-10 16:30:00+00:00,2013,27440,False,False
Springs Fire,Ventura,56,34.37,-119.14,2013-05-02 07:01:00+00:00,2013,24251,True,True
Aspen Fire,Fresno,10,37.28,-119.32,2013-07-22 22:15:00+00:00,2013,22992,False,False
Silver Fire,Riverside,33,33.86,-116.9,2013-08-07 14:05:00+00:00,2013,20292,True,True
Salmon River Complex,Siskiyou,47,41.32,-123.18,2013-07-31 22:00:00+00:00,2013,14754,False,False
Corral Complex,Humboldt,12,41.03,-123.49,2013-08-10 11:40:00+00:00,2013,12503,False,False
Deer Fire,Tehama,52,40.04,-121.85,2013-08-23 14:15:00+00:00,2013,11429,True,True
Clover Fire,Shasta,45,40.5,-122.54,2013-09-09 12:32:00+00:00,2013,8073,True,True
Chariot Fire,San Diego,37,32.95,-116.47,2013-07-06 12:55:00+00:00,2013,7055,True,True
Panther Fire,Tehama,52,40.19,-121.6,2013-05-01 09:12:00+00:00,2013,6965,True,True
Grand Fire,Kern,15,34.79,-118.94,2013-05-15 12:50:00+00:00,2013,4346,True,True
Grand Fire,Ventura,56,34.79,-118.94,2013-05-15 12:50:00+00:00,2013,4346,True,True
McCabe Fire,Sonoma,49,38.82,-122.85,2013-11-22 02:04:00+00:00,2013,3505,True,True
Summit Fire,Riverside,33,34.29,-116.94,2013-05-01 12:38:00+00:00,2013,3166,True,True
Morgan Fire,Contra Costa,7,37.91,-121.88,2013-09-08 13:08:00+00:00,2013,3111,True,True
San Felipe Fire,San Diego,37,33.12,-116.53,2013-05-23 12:20:00+00:00,2013,2781,True,True
Swedes Fire,Butte,4,39.45,-121.38,2013-08-16 16:37:00+00:00,2013,2462,True,True
DeLuz Fire,San Diego,37,33.34,-117.31,2013-10-05 12:45:00+00:00,2013,2236,False,False
Fish Fire,Tulare,54,36.21,-118.44,2013-08-24 14:31:00+00:00,2013,2060,False,False
White Fire,Santa Barbara,42,34.55,-119.82,2013-05-27 14:45:00+00:00,2013,1984,False,False
Carstens Fire,Mariposa,22,37.58,-119.91,2013-06-16 14:12:00+00:00,2013,1708,True,True
Falls Fire,Riverside,33,33.62,-117.4,2013-08-05 10:10:00+00:00,2013,1383,True,False
General Fire,San Diego,37,33.04,-116.52,2013-05-26 12:04:00+00:00,2013,1271,True,True
Power Fire,Tuolumne,55,38.25,-120.03,2013-08-05 06:00:00+00:00,2013,1070,False,False
Pfeiffer Fire,Monterey,27,36.31,-121.35,2013-12-16 00:20:00+00:00,2013,917,False,False
Shirley Fire,Kern,15,35.71,-118.59,2013-08-18 23:12:00+00:00,2013,794,False,False
Rancho Fire,Kern,15,34.88,-118.92,2013-07-19 12:00:00+00:00,2013,712,True,True
Lake Fire,Los Angeles,19,34.49,-118.61,2013-05-17 13:23:00+00:00,2013,712,True,False
Water Fire,Kern,15,34.9,-118.93,2013-07-23 09:15:00+00:00,2013,612,True,False
Kyburz Fire,El Dorado,9,38.77,-120.3,2013-07-08 12:45:00+00:00,2013,572,False,False
Mills Fire,San Bernardino,36,34.07,-117.05,2013-06-28 14:30:00+00:00,2013,534,True,True
Plumas Lightning Complex (Hough),Plumas,32,40.01,-120.76,2013-08-18 18:30:00+00:00,2013,513,False,False
Gorgonio Fire,Riverside,33,33.89,-116.86,2013-05-04 11:43:00+00:00,2013,510,True,False
Fox Fire (formally 3-7 Fire),Modoc,25,41.24,-121.03,2013-07-03 22:56:00+00:00,2013,502,True,False
Branch Fire,San Luis Obispo,40,35.16,-120.05,2013-06-01 17:27:00+00:00,2013,500,False,False
Kirker Fire,Contra Costa,7,37.97,-121.91,2013-07-01 13:19:00+00:00,2013,492,True,False
Rolling Fire,Madera,20,37.02,-119.78,2013-06-16 18:17:00+00:00,2013,482,True,True
Gobblers Fire,San Bernardino,36,34.3,-117.6,2013-08-20 13:32:00+00:00,2013,413,False,False
