,County,Latitude,Longitude,Ocean Proximity,Population,Households,Average Income,Average House Value
0,Humboldt,40.54,-124.35,NEAR OCEAN,806,270,30147,94600
1,Del Norte,41.8,-124.3,NEAR OCEAN,1298,478,19797,85800
2,Del Norte,41.84,-124.3,NEAR OCEAN,1244,456,30313,103600
3,Humboldt,40.69,-124.27,NEAR OCEAN,1194,465,25179,79000
4,Humboldt,40.58,-124.26,NEAR OCEAN,907,369,23571,111400
5,Humboldt,40.28,-124.25,NEAR OCEAN,434,187,19417,76100
6,Humboldt,40.54,-124.23,NEAR OCEAN,1152,435,30806,106700
7,Humboldt,40.81,-124.23,NEAR OCEAN,544,172,33462,50800
8,Del Norte,41.75,-124.23,NEAR OCEAN,1343,479,24805,73200
9,Del Norte,41.73,-124.22,NEAR OCEAN,1530,653,17038,78300
10,Humboldt,40.75,-124.21,NEAR OCEAN,620,268,16528,58100
11,Del Norte,41.75,-124.21,NEAR OCEAN,1993,721,20074,66900
12,Del Norte,41.77,-124.21,NEAR OCEAN,1947,647,25795,68400
13,Humboldt,40.73,-124.19,NEAR OCEAN,2907,972,35363,90100
14,Humboldt,40.77,-124.19,NEAR OCEAN,1367,583,24420,69000
15,Humboldt,40.78,-124.19,NEAR OCEAN,640,260,18242,70000
16,Del Norte,41.78,-124.19,NEAR OCEAN,1645,640,16654,74600
17,Humboldt,40.62,-124.18,NEAR OCEAN,480,179,30536,107000
18,Humboldt,40.78,-124.18,NEAR OCEAN,2473,863,24080,69800
19,Humboldt,40.79,-124.18,NEAR OCEAN,1671,616,16059,67550
20,Humboldt,40.62,-124.17,NEAR OCEAN,706,277,28958,86400
21,Humboldt,40.74,-124.17,NEAR OCEAN,873,313,40357,128900
22,Humboldt,40.75,-124.17,NEAR OCEAN,951,353,48516,116100
23,Humboldt,40.76,-124.17,NEAR OCEAN,992,380,28056,82800
24,Humboldt,40.77,-124.17,NEAR OCEAN,990,359,22227,81300
25,Humboldt,40.78,-124.17,NEAR OCEAN,731,327,16369,68300
26,Humboldt,40.79,-124.17,NEAR OCEAN,1169,482,19688,70500
27,Humboldt,40.8,-124.17,NEAR OCEAN,2041,930,14650,66000
28,Del Norte,41.76,-124.17,NEAR OCEAN,1282,514,24605,105900
29,Del Norte,41.8,-124.17,NEAR OCEAN,1259,436,37557,109400
30,Humboldt,40.6,-124.16,NEAR OCEAN,642,292,24519,85100
31,Humboldt,40.77,-124.16,NEAR OCEAN,1053,434,28529,85600
32,Humboldt,40.78,-124.16,NEAR OCEAN,2560,1097,30818,83067
33,Humboldt,40.79,-124.16,NEAR OCEAN,2772,1255,20493,86733
34,Humboldt,40.8,-124.16,NEAR OCEAN,3010,1457,14935,76433
35,Humboldt,40.95,-124.16,NEAR OCEAN,529,196,31406,96000
36,Humboldt,41.02,-124.16,NEAR OCEAN,1060,390,21726,75500
