,longitude,latitude,population,households,median_income,median_house_value,ocean_proximity,County
0,-124.35,40.54,806,270,3.0147,94600,NEAR OCEAN,Humboldt County
1,-124.3,41.8,1298,478,1.9797,85800,NEAR OCEAN,Del Norte County
2,-124.3,41.84,1244,456,3.0313,103600,NEAR OCEAN,Del Norte County
3,-124.27,40.69,1194,465,2.5179,79000,NEAR OCEAN,Humboldt County
4,-124.26,40.58,907,369,2.3571,111400,NEAR OCEAN,Humboldt County
5,-124.25,40.28,434,187,1.9417,76100,NEAR OCEAN,Humboldt County
6,-124.23,40.54,1152,435,3.0806,106700,NEAR OCEAN,Humboldt County
7,-124.23,40.81,544,172,3.3462,50800,NEAR OCEAN,Humboldt County
8,-124.23,41.75,1343,479,2.4805,73200,NEAR OCEAN,Del Norte County
9,-124.22,41.73,1530,653,1.7038,78300,NEAR OCEAN,Del Norte County
10,-124.21,40.75,620,268,1.6528,58100,NEAR OCEAN,Humboldt County
11,-124.21,41.75,1993,721,2.0074,66900,NEAR OCEAN,Del Norte County
12,-124.21,41.77,1947,647,2.5795,68400,NEAR OCEAN,Del Norte County
13,-124.19,40.73,2907,972,3.5363,90100,NEAR OCEAN,Humboldt County
14,-124.19,40.77,1367,583,2.442,69000,NEAR OCEAN,Humboldt County
15,-124.19,40.78,640,260,1.8242,70000,NEAR OCEAN,Humboldt County
16,-124.19,41.78,1645,640,1.6654,74600,NEAR OCEAN,Del Norte County
17,-124.18,40.62,480,179,3.0536,107000,NEAR OCEAN,Humboldt County
18,-124.18,40.78,2473,863,2.407966667,69800,NEAR OCEAN,Humboldt County
19,-124.18,40.79,1671,616,1.6059,67550,NEAR OCEAN,Humboldt County
20,-124.17,40.62,706,277,2.8958,86400,NEAR OCEAN,Humboldt County
21,-124.17,40.74,873,313,4.0357,128900,NEAR OCEAN,Humboldt County
22,-124.17,40.75,951,353,4.8516,116100,NEAR OCEAN,Humboldt County
23,-124.17,40.76,992,380,2.8056,82800,NEAR OCEAN,Humboldt County
24,-124.17,40.77,990,359,2.2227,81300,NEAR OCEAN,Humboldt County
25,-124.17,40.78,731,327,1.6369,68300,NEAR OCEAN,Humboldt County
26,-124.17,40.79,1169,482,1.9688,70500,NEAR OCEAN,Humboldt County
27,-124.17,40.8,2041,930,1.464966667,66000,NEAR OCEAN,Humboldt County
28,-124.17,41.76,1282,514,2.4605,105900,NEAR OCEAN,Del Norte County
29,-124.17,41.8,1259,436,3.7557,109400,NEAR OCEAN,Del Norte County
30,-124.16,40.6,642,292,2.4519,85100,NEAR OCEAN,Humboldt County
31,-124.16,40.77,1053,434,2.8529,85600,NEAR OCEAN,Humboldt County
32,-124.16,40.78,2560,1097,3.081833333,83066.66667,NEAR OCEAN,Humboldt County
33,-124.16,40.79,2772,1255,2.0493,86733.33333,NEAR OCEAN,Humboldt County
34,-124.16,40.8,3010,1457,1.4935,76433.33333,NEAR OCEAN,Humboldt County
35,-124.16,40.95,529,196,3.1406,96000,NEAR OCEAN,Humboldt County
36,-124.16,41.02,1060,390,2.1726,75500,NEAR OCEAN,Humboldt County
37,-124.16,41.74,1532,530,2.1829,69500,NEAR OCEAN,Del Norte County
38,-124.16,41.92,841,283,2.1336,75000,NEAR OCEAN,Del Norte County
39,-124.15,40.59,539,212,2.0938,79600,NEAR OCEAN,Humboldt County
40,-124.15,40.76,1388,512,3.375,100600,NEAR OCEAN,Humboldt County
41,-124.15,40.78,1740,717,3.28475,97100,NEAR OCEAN,Humboldt County
42,-124.15,40.79,1263,486,3.0216,86400,NEAR OCEAN,Humboldt County
43,-124.15,40.8,765,329,1.755,74100,NEAR OCEAN,Humboldt County
44,-124.15,40.81,235,83,1.75,67500,NEAR OCEAN,Humboldt County
45,-124.15,40.88,1165,441,1.725,57500,NEAR OCEAN,Humboldt County
46,-124.15,41.81,3546,585,2.2868,103100,NEAR OCEAN,Del Norte County
47,-124.14,40.57,1314,562,2.1354,75100,<1H OCEAN,Humboldt County
48,-124.14,40.58,891,355,2.6987,92500,<1H OCEAN,Humboldt County
49,-124.14,40.59,2370,966,1.87025,71800,NEAR OCEAN,Humboldt County
50,-124.14,40.6,521,219,4.025,128100,NEAR OCEAN,Humboldt County
51,-124.14,40.67,320,109,4.2054,130600,NEAR OCEAN,Humboldt County
52,-124.14,40.72,1375,503,2.8446,100500,NEAR OCEAN,Humboldt County
53,-124.14,40.77,1407,571,2.9143,99600,NEAR OCEAN,Humboldt County
54,-124.14,40.78,982,432,3.4219,92800,NEAR OCEAN,Humboldt County
55,-124.14,40.79,873,291,2.4896,81000,NEAR OCEAN,Humboldt County
